treatment,replicate,time to death (days),experiment
32,24,31,GF_gnoto
32,25,34,GF_gnoto
32,26,34,GF_gnoto
32,27,36,GF_gnoto
32,28,39,GF_gnoto
32,29,43,GF_gnoto
32,30,56,GF_gnoto
32,31,72,GF_gnoto
32,32,76,GF_gnoto
32,33,9,GF_gnoto
32,34,12,GF_gnoto
32,35,18,GF_gnoto
32,36,21,GF_gnoto
32,37,29,GF_gnoto
32,38,34,GF_gnoto
32,39,45,GF_gnoto
32,40,45,GF_gnoto
32,41,60,GF_gnoto
32,42,60,GF_gnoto
32,43,60,GF_gnoto
32,44,75,GF_gnoto
32,45,78,GF_gnoto
32,46,21,GF_gnoto
32,47,24,GF_gnoto
32,48,24,GF_gnoto
32,49,27,GF_gnoto
32,50,29,GF_gnoto
5,1,19,standard
5,2,22,standard
5,3,29,standard
5,4,36,standard
5,5,40,standard
5,6,41,standard
5,7,42,standard
5,8,42,standard
5,9,54,standard
5,10,56,standard
5,11,21,standard
5,12,32,standard
5,13,40,standard
5,14,41,standard
5,15,41,standard
5,16,42,standard
5,17,45,standard
5,18,47,standard
5,19,49,standard
5,20,53,standard
5,21,33,standard
5,22,43,standard
5,23,46,standard
5,24,49,standard
5,25,51,standard
5,26,51,standard
5,27,52,standard
5,28,54,standard
5,29,54,standard
5,30,57,standard
5,31,8,standard
5,32,36,standard
5,33,41,standard
5,34,44,standard
5,35,47,standard
5,36,47,standard
5,37,47,standard
5,38,47,standard
5,39,47,standard
5,40,59,standard
5,41,10,standard
5,42,18,standard
5,43,26,standard
5,44,36,standard
5,45,44,standard
5,46,46,standard
5,47,47,standard
5,48,47,standard
5,49,57,standard
5,50,60,standard
9,1,27,standard
9,2,28,standard
9,3,34,standard
9,4,37,standard
9,5,41,standard
9,6,43,standard
9,7,45,standard
9,8,48,standard
9,9,53,standard
9,10,53,standard
9,11,23,standard
9,12,26,standard
9,13,28,standard
9,14,33,standard
9,15,42,standard
9,16,43,standard
9,17,48,standard
9,18,50,standard
9,19,53,standard
9,20,56,standard
9,21,23,standard
9,22,27,standard
9,23,31,standard
9,24,33,standard
9,25,38,standard
9,26,40,standard
9,27,46,standard
9,28,46,standard
9,29,49,standard
9,30,63,standard
9,31,35,standard
9,32,42,standard
9,33,50,standard
9,34,50,standard
9,35,50,standard
9,36,50,standard
9,37,51,standard
9,38,51,standard
9,39,59,standard
9,40,60,standard
9,41,21,standard
9,42,33,standard
9,43,34,standard
9,44,35,standard
9,45,36,standard
9,46,44,standard
9,47,50,standard
9,48,50,standard
9,49,53,standard
9,50,55,standard
15,1,19,standard
15,2,39,standard
15,3,39,standard
15,4,40,standard
15,5,42,standard
15,6,45,standard
15,7,46,standard
15,8,48,standard
15,9,51,standard
15,10,58,standard
15,11,31,standard
15,12,34,standard
15,13,37,standard
15,14,37,standard
15,15,40,standard
15,16,40,standard
15,17,45,standard
15,18,51,standard
15,19,58,standard
15,20,60,standard
15,21,29,standard
15,22,31,standard
15,23,35,standard
15,24,46,standard
15,25,46,standard
15,26,48,standard
15,27,49,standard
15,28,52,standard
15,29,61,standard
15,30,70,standard
15,31,8,standard
15,32,44,standard
15,33,47,standard
15,34,47,standard
15,35,47,standard
15,36,47,standard
15,37,50,standard
15,38,52,standard
15,39,56,standard
15,40,59,standard
