sample_id,Leaf141,Leaf145,Leaf160,Leaf176,Leaf177,Leaf183,Leaf187,Leaf189,Leaf2,Leaf203,Leaf220,Leaf222,Leaf231,Leaf233,Leaf234,Leaf242,Leaf262,Leaf263,Leaf265,Leaf26,Leaf285,Leaf288,Leaf324,Leaf334,Leaf336,Leaf337,Leaf344,Leaf351,Leaf354,Leaf357,Leaf359,Leaf363,Leaf371,Leaf380,Leaf391,Leaf396,Leaf405,Leaf41,Leaf416,Leaf420,Leaf427,Leaf443,Leaf5,Leaf68,Leaf70,Leaf3,Leaf33,Leaf225,Leaf82,Leaf83,Leaf86,Leaf88,Leaf90,Leaf202,Leaf281
ALL_Mg_12_t2,0,141,0,1,450,11,0,0,0,1275,0,0,5,427,0,2,198,0,1,454,0,5,0,0,19,0,2,0,14,4,0,0,0,0,2,10,9,7,1,375,0,0,0,822,0,1,0,0,235,4,10,0,5,770,3
ALL_Mg_13_t2,0,29,0,0,112,0,0,0,0,641,3,0,309,26,0,0,1153,0,1,124,3,0,0,0,6,1,90,0,6,0,0,39,0,0,339,1,113,13,2,326,0,156,0,778,9,95,0,0,513,11,4,0,2,773,94
ALL_Mg_14_t2,0,51,0,2,14,2,0,0,0,709,0,0,89,25,0,0,4,0,80,26,0,0,0,0,2,0,0,0,11,0,0,6,32,0,0,0,2,2,0,3,0,0,0,614,0,0,37,0,28,1,1594,0,0,649,0
ALL_Mg_15_t2,0,60,0,2,54,8,0,1,0,1061,0,0,341,352,0,1,411,0,0,116,0,3,28,0,9,0,168,0,3,4,0,31,0,0,173,2,1,10,2151,700,3,20,0,1236,0,1,0,0,87,152,272,0,3,1215,1
ALL_Mg_16_t2,10,48,0,0,90,1,0,0,17,650,0,0,232,1249,0,18,0,0,0,0,5,0,0,1,3,0,0,0,5,0,0,0,17,2,118,3,705,1,2,375,39,0,0,314,0,0,0,0,6,2,1400,0,6,309,0
ALL_Mg_17_t2,3,693,89,4,36,3,0,2,3,446,0,0,119,803,0,1,86,0,144,32,0,0,11,0,3,0,40,0,11,0,0,0,0,0,114,11,675,3,2,298,0,71,0,239,0,0,125,0,34,71,201,98,178,239,0
ALL_Mg_18_t2,21,1761,0,0,42,6,0,0,13,369,1,0,229,155,0,1,321,0,0,114,13,0,0,0,8,0,0,0,0,0,0,0,198,39,1,0,1471,5,0,223,5,6,0,393,0,19,5,0,110,1,0,0,0,370,20
ALL_Mg_19_t2,0,67,0,0,181,4,0,1,1,807,0,0,206,110,0,0,2,0,304,24,283,0,153,0,8,0,0,0,0,0,0,0,0,0,3,0,829,1,1,397,3,1,0,25,0,0,268,1,5,0,2031,0,3,34,0
ALL_Mg_20_t2,7,12,0,3,93,0,0,2,0,723,0,0,0,96,0,104,63,0,1,5,3,0,0,0,6,0,0,0,7,5,0,1,0,0,46,0,6,11,2,104,19,0,0,1107,0,10,0,1,0,0,746,0,0,1102,6
ALL_Mg_21_t2,0,33,0,0,133,4,0,1,1,1747,0,0,451,9,0,0,4,0,1,86,749,0,142,33,6,1,0,0,3,0,0,0,2,0,0,0,14,0,1,472,0,0,0,11,0,2,1,1,1,0,0,0,3305,9,1
ALL_Mg_22_t2,66,192,0,1,317,14,0,0,53,1268,0,0,2,323,0,297,406,0,0,6,18,11,2,0,8,2,1,2,27,0,0,0,0,0,1,11,0,0,1,5,0,4,0,1235,0,3,0,0,1,0,135,0,36,1262,4
ALL_Mg_23_t2,0,36,0,0,132,2,0,0,3,289,0,0,45,20,0,42,1,0,424,406,0,0,0,0,6,0,0,0,21,19,0,0,0,0,254,1,11,16,6,329,7,0,0,911,0,0,0,0,0,283,67,2,0,972,0
ALL_Mg_24_t2,0,5,0,0,44,0,2,0,0,1083,1,0,204,414,0,0,933,0,0,81,2,0,0,0,9,0,0,0,3,0,0,0,0,0,209,0,1034,2,2,248,43,0,0,206,0,34,0,0,58,365,5,0,487,232,24
