sample_id,KB1,YL2,KB18,YL27,YL31,YL32,YL44,YL45,I46,I48,I49,YL58
E5_OMM-1_D10_M11_W3,0,47600000,0,2.37e+08,3.3e+09,33300000,1.12e+08,1.53e+08,3.36e+08,1.74e+09,0,6.57e+08
E5_OMM-1_D10_M11_W4,0,42200000,0,3.59e+08,3.4e+09,33500000,98800000,2.06e+08,3.56e+08,2.06e+09,0,6.79e+08
E5_OMM-1_D10_M11_W5,0,58800000,0,2.25e+08,3.09e+09,31400000,87800000,1.13e+08,1.83e+08,1.68e+09,0,6.91e+08
E5_OMM-1_D10_M4_W1,0,1.39e+08,0,3.33e+08,1.28e+09,43400000,1.88e+08,1.75e+08,1.69e+08,1.02e+09,0,2.22e+09
E5_OMM-1_D10_M4_W2,0,90800000,0,1.79e+08,7.6e+08,2.5e+07,86500000,96400000,1.15e+08,5.57e+08,0,8.12e+08
E5_OMM-1_D10_M4_W3,0,1.45e+08,0,2.11e+08,1.01e+09,33900000,1.19e+08,1.22e+08,1.15e+08,6.9e+08,0,1.26e+09
E5_OMM-1_D10_M4_W4,0,7.1e+07,0,1.96e+08,8.3e+08,28500000,1.16e+08,1.05e+08,83700000,6.33e+08,0,1.06e+09
E5_OMM-1_D10_M4_W5,0,1.99e+08,0,3.22e+08,1.31e+09,51700000,1.68e+08,1.59e+08,1.8e+08,9.96e+08,0,1.78e+09
E5_OMM-1_D10_M8_W1,0,81700000,0,1.33e+08,3.75e+08,19100000,97400000,64700000,1.54e+08,9.25e+08,0,6.63e+08
E5_OMM-1_D10_M8_W2,0,97700000,0,2.04e+08,7.74e+08,36400000,1.35e+08,1.04e+08,3.86e+08,1.36e+09,0,4.4e+08
E5_OMM-1_D10_M8_W3,0,17500000,0,54700000,1.53e+08,6630000,3.5e+07,22200000,55800000,3.47e+08,0,1.38e+08
E5_OMM-1_D10_M8_W4,0,67800000,0,1.56e+08,5.52e+08,22600000,1.08e+08,69900000,1.58e+08,1.16e+09,0,3.91e+08
E5_OMM-1_D10_M8_W5,0,64500000,0,3.14e+08,7.1e+08,27300000,1.24e+08,1.28e+08,1.47e+08,1.37e+09,0,6.37e+08
E5_OMM-1_D10_M1_W1,0,2.04e+08,0,2.54e+08,5.09e+08,20300000,336000,1.02e+08,2.03e+08,1.12e+09,0,6.28e+08
E5_OMM-1_D10_M1_W2,0,86400000,0,2.6e+08,5.67e+08,2.3e+07,719000,66500000,4.71e+08,1.27e+09,0,8.97e+08
E5_OMM-1_D10_M1_W3,0,4.86e+08,0,3.46e+08,7.41e+08,24200000,1140000,1.67e+08,4.75e+08,1.46e+09,0,8.8e+08
E5_OMM-1_D10_M1_W4,0,2.21e+08,0,3.07e+08,7.31e+08,22200000,1110000,96200000,6.99e+08,1.88e+09,0,1.29e+09
E5_OMM-1_D10_M1_W5,0,2.2e+08,0,3.27e+08,7.99e+08,26500000,1200000,1.87e+08,5.3e+08,1.63e+09,0,7.88e+08
E5_OMM-1_D10_M2_W1,0,1.88e+08,0,4.82e+08,1.31e+09,33700000,12800000,2.75e+08,2.06e+08,8.67e+08,0,1.88e+09
E5_OMM-1_D10_M2_W2,0,1.22e+08,0,3.67e+08,1.11e+09,20300000,8150000,2.02e+08,1.09e+08,6.65e+08,0,1.69e+09
E5_OMM-1_D10_M2_W3,0,9.8e+07,0,4.01e+08,1.12e+09,24400000,8280000,2.01e+08,54700000,7.06e+08,0,1.94e+09
E5_OMM-1_D10_M2_W4,0,1.72e+08,0,4.41e+08,1.18e+09,2.4e+07,8150000,2.08e+08,1.25e+08,7.85e+08,0,2.29e+09
E5_OMM-1_D10_M2_W5,0,1.1e+08,0,3.66e+08,1.25e+09,20600000,7970000,1.78e+08,71200000,6.65e+08,0,1.76e+09
E5_OMM-1_D10_M3_W1,0,1.03e+08,0,2.69e+08,1e+09,15900000,8400000,1.75e+08,2.38e+08,1.58e+09,0,6.97e+08
E5_OMM-1_D10_M3_W2,0,65100000,0,3.99e+08,9.91e+08,19900000,9390000,1.68e+08,1.97e+08,1.23e+09,0,9.91e+08
E5_OMM-1_D10_M3_W3,0,1.25e+08,0,3.4e+08,1.04e+09,16800000,10600000,1.77e+08,2.31e+08,1.47e+09,0,7.36e+08
E5_OMM-1_D10_M3_W4,0,2.99e+08,0,4.96e+08,9.65e+08,15600000,10400000,1.61e+08,3.72e+08,1.46e+09,0,9.86e+08
E5_OMM-1_D10_M3_W5,0,1.81e+08,0,2.08e+08,8.03e+08,1.2e+07,7680000,99100000,2.29e+08,1.82e+09,0,6.52e+08
E5_OMM_D10_M10_W1,1.19e+08,0,0,0,7.33e+08,52800000,26500000,2.23e+08,28800000,4.21e+09,0,3.14e+08
E5_OMM_D10_M10_W2,1180000,0,0,0,5.8e+08,35500000,15400000,1.28e+08,20200000,3.32e+09,0,1.82e+08
E5_OMM_D10_M10_W3,57200000,0,0,0,5.39e+08,31200000,4710000,1.22e+08,14900000,2.56e+09,0,1.64e+08
E5_OMM_D10_M10_W4,75400000,0,1.51e+08,0,7.14e+08,40900000,1410000,1.95e+08,22500000,4.85e+09,0,4.71e+08
E5_OMM_D10_M10_W5,1.49e+08,0,5670000,4.74e+08,2.06e+09,1.19e+08,2.13e+08,3.47e+08,2.12e+08,3e+09,0,7.99e+08
E5_OMM_D10_M11_W1,2.79e+08,0,3460000,3.47e+08,7.91e+09,80900000,1.32e+08,3.26e+08,1.05e+08,2.33e+09,0,6.14e+08
