sample_id,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA
butyrate_exp8_DF_rep1_0449,0.000169664065151001,0,0,0,0,0,0,0,0,0,0,8.48320325755005e-05,0,0,8.48320325755005e-05,8.48320325755005e-05,8.48320325755005e-05,0,0,8.48320325755005e-05,0,0,0.998897183576518,0.000339328130302002,8.48320325755005e-05,8.48320325755005e-05
butyrate_exp8_BL_rep0_0450,0.000221263414094479,0.000221263414094479,0.00011063170704724,0,0,0,0,0,0,0,0,0,0,0.00011063170704724,0,0,0,0,0,0.00011063170704724,0,0.00011063170704724,0,0.998672419515433,0.000221263414094479,0.000221263414094479
butyrate_exp8_BL_rep1_0451,0,0,0,0,0.000116090085906664,0,0,0,0,0,0,0,0.000116090085906664,0,0,0,0.000116090085906664,0,0.000116090085906664,0.000928720687253309,0,0,0,0.998490828883213,0.000116090085906664,0
butyrate_exp8_BP_rep0_0452,0,0,0,0,9.19371150133309e-05,0,9.19371150133309e-05,0,0,0,9.19371150133309e-05,0,0,0.000183874230026662,0,0,9.19371150133309e-05,0,0,0.000275811345039993,0.000183874230026662,0,9.19371150133309e-05,0.000275811345039993,0.998161257699733,0.000459685575066654
butyrate_exp8_BP_rep1_0453,0,0.000101347927434884,0,0,0.000101347927434884,0,0,0,0,0,0.000304043782304652,0,0,0.000202695854869768,0,0,0,0.000101347927434884,0,0.000101347927434884,0.000101347927434884,0,0.000405391709739536,0.000101347927434884,0.998074389378737,0.000405391709739536
butyrate_exp8_BA_rep0_0454,0.000109134562916076,0,0.000109134562916076,0,0,0,0.000109134562916076,0,0,0,0,0,0.000109134562916076,0.000218269125832151,0,0,0,0,0.000109134562916076,0.000109134562916076,0,0,0.000545672814580378,0.000218269125832151,0.000654807377496453,0.997708174178762
butyrate_exp8_BA_rep1_0455,0,0,0.000125234815278647,0,0,0,0,0,0,0,0,0,0,0.000250469630557295,0,0.000125234815278647,0.000125234815278647,0,0,0.000250469630557295,0.00288040075140889,0,0,0.000125234815278647,0.00125234815278647,0.994865372573575
butyrate_exp9_FP_rep0_0456,0.0114942528735632,0.804597701149425,0.0344827586206896,0,0.0459770114942529,0,0.0114942528735632,0,0,0,0,0,0,0,0,0,0,0,0.0114942528735632,0,0,0,0,0.0114942528735632,0,0
butyrate_exp9_DP_rep0_0457,0,0,0.00252675386444709,0,0.000594530321046373,0,0.985434007134364,0,0.00044589774078478,0,0.00044589774078478,0.000148632580261593,0.000148632580261593,0.000297265160523187,0,0.000148632580261593,0.000297265160523187,0,0.000297265160523187,0.000297265160523187,0.000297265160523187,0.00104042806183115,0.000297265160523187,0,0,0
butyrate_exp9_AC_rep0_0458,0,0,0.997589998493749,0,0.000150625094140684,0,0.000602500376562735,0,0,0,0,0.000301250188281368,0,0,0,0.000150625094140684,0,0,0,0.000451875282422052,0,0.000150625094140684,0,0,0,0
butyrate_exp9_CC_rep0_0459,0.000362515860068878,0,0.000362515860068878,0,0.998187420699656,0,0,0.000181257930034439,0,0,0,0,0,0,0,0.000181257930034439,0,0,0,0,0.000181257930034439,0,0.000181257930034439,0,0,0
butyrate_exp9_BV_rep0_0460,0.000414336026517506,0,0.000207168013258753,0,0.000621504039776259,0,0,0,0,0,0,0.000414336026517506,0,0,0,0,0,0,0.99668531178786,0.000207168013258753,0,0,0,0,0.000207168013258753,0
butyrate_exp9_DL_rep0_0461,0.000435729847494553,0,0.000217864923747277,0,0.000217864923747277,0,0.000217864923747277,0.000217864923747277,0,0,0.996514161220044,0.000435729847494553,0.000217864923747277,0.000217864923747277,0,0.000435729847494553,0.000217864923747277,0,0,0,0.000435729847494553,0,0,0,0,0
butyrate_exp9_BY_rep0_0462,0.000216216216216216,0,0.000216216216216216,0,0.000432432432432432,0,0.000216216216216216,0,0,0,0,0,0,0.000432432432432432,0,0.000216216216216216,0.000216216216216216,0,0.000216216216216216,0,0.996324324324324,0.000216216216216216,0,0,0,0.000216216216216216
butyrate_exp9_DF_rep0_0463,0.000225428313796213,0,0.000676284941388638,0,0.00112714156898106,0,0.000225428313796213,0,0.000450856627592426,0,0.000676284941388638,0.000225428313796213,0.000450856627592426,0.00270513976555455,0,0.000450856627592426,0.000901713255184851,0,0.000225428313796213,0.000450856627592426,0.000450856627592426,0,0.984896302975654,0,0,0.00405770964833183
butyrate_exp9_EL_rep0_0464,0.000562640660165041,0,0.00018754688672168,0,0.000562640660165041,0.00018754688672168,0.000375093773443361,0,0,0,0.00018754688672168,0.000375093773443361,0,0.994561140285071,0.00018754688672168,0.000562640660165041,0.000562640660165041,0,0.00018754688672168,0,0.00018754688672168,0,0.000375093773443361,0,0,0
butyrate_exp10_ER_FP_rep0_0465,0.994768015794669,0.00384995064165844,0.000493583415597236,0,9.87166831194472e-05,9.87166831194472e-05,0,0,9.87166831194472e-05,0,0,9.87166831194472e-05,0,0,0,0,0,0,0.000197433366238894,0,0,0,9.87166831194472e-05,0,0,0
butyrate_exp10_AC_ER_rep0_0466,0.0578181463033499,9.76657876745776e-05,0.94110753003223,0,0.000195331575349155,0,0,0,0,9.76657876745776e-05,0,0,0,0,0,0.000292997363023733,9.76657876745776e-05,0,0,9.76657876745776e-05,9.76657876745776e-05,9.76657876745776e-05,0,0,0,0
butyrate_exp10_CC_ER_rep0_0467,0.0966113914924297,0,0.00020599443815017,0,0.90256463075497,0.000102997219075085,0,0,0,0.000102997219075085,0,0,0.000102997219075085,0,0,0.000102997219075085,0,0,0.000102997219075085,0,0,0,0,0,0,0
butyrate_exp10_ER_RI_rep0_0468,0.0184496567505721,0,0.000429061784897025,0,0.000429061784897025,0.979977116704806,0,0,0,0,0.000143020594965675,0,0,0,0,0.000143020594965675,0,0.000143020594965675,0.00028604118993135,0,0,0,0,0,0,0
butyrate_exp10_AC_FP_rep0_0469,0.000113986093696569,0.0519776587256355,0.94585660549413,0,0.000341958281089707,0.000227972187393138,0,0,0,0,0.000113986093696569,0,0,0,0,0.000683916562179414,0,0,0.000569930468482845,0.000113986093696569,0,0,0,0,0,0
butyrate_exp10_CC_FP_rep0_0470,0,0.00554771030865443,0.000403469840629413,0,0.993241880169457,0,0,0,0,0,0,0,0.00030260238047206,0,0,0.000100867460157353,0,0,0,0.000403469840629413,0,0,0,0,0,0
butyrate_exp10_FP_RI_rep0_0471,0.000837520938023451,0.507537688442211,0.00251256281407035,0,0.0050251256281407,0.474036850921273,0,0,0,0,0.000837520938023451,0,0.000837520938023451,0,0,0.00251256281407035,0.0016750418760469,0,0,0,0.000837520938023451,0,0,0,0,0.0033500837520938
butyrate_exp10_AC_CC_rep0_0472,9.9039318609488e-05,0,0.582351193423789,0,0.416658413390116,0,0,0,0,0,0,9.9039318609488e-05,0,0,0,0.000594235911656928,0,0,0.000198078637218976,0,0,0,0,0,0,0
butyrate_exp10_AC_RI_rep0_0473,0.000203025073596589,0,0.997969749264034,0,0.000304537610394884,0.000609075220789767,0.000203025073596589,0,0,0.000101512536798295,0,0,0,0,0,0.000203025073596589,0,0,0.000203025073596589,0.000203025073596589,0,0,0,0,0,0
butyrate_exp10_CC_RI_rep0_0474,0.000102585145670907,0,0.000205170291341814,0,0.998666393106278,0.000410340582683627,0,0,0,0,0,0,0,0,0,0.00030775543701272,0,0,0.000102585145670907,0,0.000205170291341814,0,0,0,0,0
butyrate_exp10_ER_rep0_0475,0.985063572398469,0,0.00197506480681397,0,0.000987532403406987,0,0,0,0.000246883100851747,0.000123441550425873,0.00074064930255524,0.000246883100851747,0.00308603876064683,0,0.000123441550425873,0.00172818170596223,0.00345636341192445,0,0.00037032465127762,0,0.000864090852981113,0,0.00037032465127762,0,0.000617207752129367,0
butyrate_exp10_RI_rep0_0476,0.00598802395209581,0,0.00598802395209581,0,0.00598802395209581,0.94311377245509,0,0,0,0,0.00299401197604791,0,0.00299401197604791,0,0,0.00299401197604791,0.0119760479041916,0,0.0119760479041916,0,0.00299401197604791,0.00299401197604791,0,0,0,0
butyrate_exp10_DP_rep0_0477,8.781944322473e-05,0,8.781944322473e-05,0,0.00026345832967419,0,0.998682708351629,0,8.781944322473e-05,0,0,0,8.781944322473e-05,8.781944322473e-05,0,0,0,0.00026345832967419,0,8.781944322473e-05,0,0,8.781944322473e-05,0,0,0
butyrate_exp10_PC_rep0_0478,8.76117049237778e-05,0,8.76117049237778e-05,0,0.000175223409847556,0,8.76117049237778e-05,0,8.76117049237778e-05,0.998510601016296,0,0.000175223409847556,8.76117049237778e-05,0,0,0,0,0.000175223409847556,0,0.000175223409847556,0,0.000175223409847556,0,0,0,0
