sample_id,AM,BA,BOB,BOV,BT,EC,FP,LB,LJ
pair_['BOV' 'BT']_3,0.0,0.0,0.0,0.9286547271970018,1.4819726481558226,0.0,0.0,0.0,0.0
pair_['BOV' 'BT']_4,0.0,0.0,0.0,0.965556018325698,1.4881889763779526,0.0,0.0,0.0,0.0
pair_['BOB' 'LJ']_1,0.0,0.0,1.0433107756376891,0.0,0.0,0.0,0.0,0.0,1.6230759461518924
pair_['BOB' 'LJ']_2,0.0,0.0,1.1680635085892768,0.0,0.0,0.0,0.0,0.0,1.665684531369063
pair_['BOB' 'LJ']_3,0.0,0.0,1.0649141072358148,0.0,0.0,0.0,0.0,0.0,1.6307467614935234
pair_['BOB' 'LJ']_4,0.0,0.0,1.1467811903522476,0.0,0.0,0.0,0.0,0.0,1.6580518161036326
pair_['BOB' 'LB']_1,0.0,0.0,1.9279975707097003,0.0,0.0,0.0,0.0,1.0915265788278055,0.0
pair_['BOB' 'LB']_2,0.0,0.0,1.9858667360749616,0.0,0.0,0.0,0.0,1.1369491140390733,0.0
pair_['BOB' 'LB']_3,0.0,0.0,1.9391723060905781,0.0,0.0,0.0,0.0,1.103952748750568,0.0
pair_['BOB' 'LB']_4,0.0,0.0,1.9747614089883747,0.0,0.0,0.0,0.0,1.1245797364834162,0.0
pair_['BOB' 'FP']_1,0.0,0.0,1.337306958181503,0.0,0.0,0.0,0.4934036939313984,0.0,0.0
pair_['BOB' 'FP']_2,0.0,0.0,1.44082942911678,0.0,0.0,0.0,0.612005277044855,0.0,0.0
pair_['BOB' 'FP']_3,0.0,0.0,1.375212562901267,0.0,0.0,0.0,0.518601583113457,0.0,0.0
pair_['BOB' 'FP']_4,0.0,0.0,1.4032014575741805,0.0,0.0,0.0,0.5869393139841695,0.0,0.0
pair_['BOB' 'EC']_1,0.0,0.0,0.7358233558910294,0.0,0.0,0.5214103653355987,0.0,0.0,0.0
pair_['BOB' 'EC']_2,0.0,0.0,0.8294898490369603,0.0,0.0,0.5783028887000845,0.0,0.0,0.0
pair_['BOB' 'EC']_3,0.0,0.0,0.0,0.0,0.0,0.5344838572642309,0.0,0.0,0.0
pair_['BOB' 'EC']_4,0.0,0.0,0.0,0.0,0.0,0.565346219201359,0.0,0.0,0.0
pair_['BOB' 'BT']_1,0.0,0.0,0.4885910116258895,0.0,1.235308744301699,0.0,0.0,0.0,0.0
pair_['BOB' 'BT']_2,0.0,0.0,0.5351292729481175,0.0,1.3090240364691255,0.0,0.0,0.0,0.0
pair_['BOB' 'BT']_3,0.0,0.0,0.5042859621724793,0.0,1.2468089515126397,0.0,0.0,0.0,0.0
pair_['BOB' 'BT']_4,0.0,0.0,0.5194863786222454,0.0,1.2977414007459591,0.0,0.0,0.0,0.0
pair_['BOB' 'BOV']_1,0.0,0.0,0.8256637168141596,0.16976259891711806,0.0,0.0,0.0,0.0,0.0
pair_['BOB' 'BOV']_2,0.0,0.0,0.8960697553357632,0.2661807580174931,0.0,0.0,0.0,0.0,0.0
pair_['BOB' 'BOV']_3,0.0,0.0,0.8361530452889123,0.20054144106622263,0.0,0.0,0.0,0.0,0.0
pair_['BOB' 'BOV']_4,0.0,0.0,0.8856411591185148,0.23567263640149985,0.0,0.0,0.0,0.0,0.0
pair_['BA' 'LJ']_1,0.0,2.1429455909943718,0.0,0.0,0.0,0.0,0.0,0.0,1.0619253238506476
pair_['BA' 'LJ']_2,0.0,2.197016885553471,0.0,0.0,0.0,0.0,0.0,0.0,1.152159004318009
pair_['BA' 'LJ']_3,0.0,2.169981238273921,0.0,0.0,0.0,0.0,0.0,0.0,1.0778892557785118
pair_['BA' 'LJ']_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1364871729743462
pair_['BA' 'LB']_1,0.0,0.9127204502814257,0.0,0.0,0.0,0.0,0.0,0.28627896410722425,0.0
pair_['BA' 'LB']_2,0.0,1.0201688555347093,0.0,0.0,0.0,0.0,0.0,0.359711494775102,0.0
pair_['BA' 'LB']_3,0.0,0.947711069418386,0.0,0.0,0.0,0.0,0.0,0.3032030895047701,0.0
pair_['BA' 'LB']_4,0.0,0.9854971857410884,0.0,0.0,0.0,0.0,0.0,0.3428668786915038,0.0
pair_['BA' 'FP']_1,0.0,0.5823076923076923,0.0,0.0,0.0,0.0,1.627352682497802,0.0,0.0
pair_['BA' 'FP']_2,0.0,0.7282926829268289,0.0,0.0,0.0,0.0,1.7751978891820595,0.0,0.0
pair_['BA' 'FP']_3,0.0,0.6263789868667916,0.0,0.0,0.0,0.0,1.656926121372033,0.0,0.0
pair_['BA' 'FP']_4,0.0,0.6846904315196998,0.0,0.0,0.0,0.0,1.7458883025505718,0.0,0.0
pair_['BA' 'EC']_1,0.0,0.672007504690431,0.0,0.0,0.0,0.5253398470688186,0.0,0.0,0.0
