sample_id,LP,LB,AP,AT,AO
hostfit_t08_0355,53657,0,0,16354,0
hostfit_t08_0356,411000,0,0,81771,0
hostfit_t08_0357,80485,0,0,16354,0
hostfit_t08_0358,286000,0,0,16354,0
hostfit_t08_0359,152000,0,0,147000,0
hostfit_t08_0360,358000,0,0,98125,0
hostfit_t08_0361,170000,0,0,164000,0
hostfit_t08_0362,447000,0,0,1310000,0
hostfit_t08_0363,170000,0,0,491000,0
hostfit_t08_0364,206000,0,0,213000,0
hostfit_t08_0365,537000,0,0,491000,0
hostfit_t08_0366,233000,0,0,81771,0
hostfit_t08_0367,17886,0,0,16354,0
hostfit_t08_0368,80485,0,0,0,0
hostfit_t08_0369,71543,0,0,0,0
hostfit_t08_0370,17886,0,0,0,0
hostfit_t08_0371,233000,0,0,32708,0
hostfit_t08_0372,107000,0,0,32708,0
hostfit_t08_0373,358000,0,0,245000,0
hostfit_t08_0374,35771,0,0,16354,0
hostfit_t08_0375,358000,0,0,1140000,0
hostfit_t08_0376,71543,0,0,81771,0
hostfit_t08_0377,8942.8,0,0,32708,0
hostfit_t08_0378,224000,0,0,294000,0
hostfit_t08_0379,358000,0,0,654000,0
hostfit_t08_0380,447000,0,0,540000,0
hostfit_t08_0381,447000,0,0,654000,0
hostfit_t08_0382,447000,0,0,245000,0
hostfit_t08_0383,447000,0,0,491000,0
hostfit_t08_0384,143000,0,0,81771,0
hostfit_t09_0385,179000,0,0,0,235000
hostfit_t09_0386,313000,0,0,0,235000
hostfit_t09_0387,358000,0,0,0,314000
hostfit_t09_0388,358000,0,0,0,235000
hostfit_t09_0389,224000,0,0,0,54894
hostfit_t09_0390,313000,0,0,0,392000
hostfit_t09_0391,313000,0,0,0,471000
hostfit_t09_0392,224000,0,0,0,471000
hostfit_t09_0393,179000,0,0,0,392000
hostfit_t09_0394,179000,0,0,0,235000
hostfit_t09_0395,224000,0,0,0,549000
hostfit_t09_0396,179000,0,0,0,267000
hostfit_t09_0397,537000,0,0,0,165000
hostfit_t09_0398,134000,0,0,0,267000
hostfit_t09_0399,35771,0,0,0,39210
hostfit_t09_0400,537000,0,0,0,165000
hostfit_t09_0401,537000,0,0,0,133000
hostfit_t09_0402,241000,0,0,0,227000
hostfit_t09_0403,107000,0,0,0,314000
hostfit_t09_0404,179000,0,0,0,133000
hostfit_t09_0405,241000,0,0,0,314000
hostfit_t09_0406,26828,0,0,0,54894
hostfit_t09_0407,241000,0,0,0,212000
hostfit_t09_0408,250000,0,0,0,78421
hostfit_t09_0409,537000,0,0,0,314000
hostfit_t09_0410,116000,0,0,0,149000
hostfit_t09_0411,537000,0,0,0,110000
hostfit_t09_0412,107000,0,0,0,102000
hostfit_t09_0413,268000,0,0,0,157000
hostfit_t09_0414,197000,0,0,0,47052
hostfit_t09_0415,143000,0,0,0,70579
hostfit_t09_0416,322000,0,0,0,54894
hostfit_t09_0417,224000,0,0,0,196000
hostfit_t09_0418,537000,0,0,0,235000
hostfit_t09_0419,358000,0,0,0,118000
hostfit_t09_0420,447000,0,0,0,94105
hostfit_t09_0421,358000,0,0,0,314000
hostfit_t09_0422,447000,0,0,0,235000
hostfit_t09_0423,358000,0,0,0,667000
hostfit_t09_0424,537000,0,0,0,431000
hostfit_t09_0425,537000,0,0,0,667000
hostfit_t09_0426,80485,0,0,0,274000
hostfit_t09_0427,537000,0,0,0,588000
hostfit_t09_0428,80485,0,0,0,196000
hostfit_t09_0429,224000,0,0,0,392000
hostfit_t09_0430,161000,0,0,0,431000
hostfit_t09_0431,268000,0,0,0,549000
hostfit_t09_0432,358000,0,0,0,274000
hostfit_t10_0433,0,445000,311000,0,0
hostfit_t10_0434,0,668000,164000,0,0
hostfit_t10_0435,0,668000,49063,0,0
hostfit_t10_0436,0,668000,98125,0,0
hostfit_t10_0437,0,668000,245000,0,0
hostfit_t10_0438,0,668000,196000,0,0
hostfit_t10_0439,0,668000,327000,0,0
hostfit_t10_0440,0,334000,49063,0,0
hostfit_t10_0441,0,256000,98125,0,0
hostfit_t10_0442,0,557000,409000,0,0
hostfit_t10_0443,0,44530,81771,0,0
hostfit_t10_0444,0,668000,245000,0,0
hostfit_t10_0445,0,2e+05,131000,0,0
hostfit_t10_0446,0,390000,65417,0,0
hostfit_t10_0447,0,557000,425000,0,0
hostfit_t10_0448,0,557000,1140000,0,0
hostfit_t10_0449,0,445000,883000,0,0
hostfit_t10_0450,0,557000,213000,0,0
hostfit_t10_0451,0,557000,0,0,0
hostfit_t10_0452,0,557000,0,0,0
hostfit_t10_0453,0,557000,0,0,0
hostfit_t10_0454,0,156000,0,0,0
hostfit_t10_0455,0,367000,0,0,0
hostfit_t10_0456,0,557000,32708,0,0
hostfit_t10_0457,0,223000,49063,0,0
hostfit_t10_0458,0,445000,425000,0,0
hostfit_t10_0459,0,289000,16354,0,0
hostfit_t10_0460,0,289000,0,0,0
hostfit_t10_0461,0,145000,0,0,0
hostfit_t10_0462,0,668000,376000,0,0
hostfit_t10_0463,0,334000,49063,0,0
hostfit_t10_0464,0,77928,81771,0,0
hostfit_t10_0465,0,22265,16354,0,0
hostfit_t10_0466,0,445000,409000,0,0
hostfit_t10_0467,0,134000,49063,0,0
hostfit_t10_0468,0,11133,49063,0,0
hostfit_t10_0469,0,668000,1470000,0,0
hostfit_t10_0470,0,668000,1470000,0,0
hostfit_t10_0471,0,334000,0,0,0
hostfit_t10_0472,0,278000,1140000,0,0
hostfit_t10_0473,0,334000,654000,0,0
hostfit_t10_0474,0,167000,0,0,0
hostfit_t10_0475,0,167000,32708,0,0
hostfit_t10_0476,0,668000,131000,0,0
hostfit_t10_0477,0,55663,0,0,0
hostfit_t10_0479,0,11133,16354,0,0
hostfit_t10_0480,0,55663,32708,0,0
hostfit_t11_0481,0,501000,0,491000,0
hostfit_t11_0482,0,33398,0,425000,0
hostfit_t11_0483,0,223000,0,98125,0
hostfit_t11_0484,0,557000,0,16354,0
hostfit_t11_0485,0,0,0,65417,0
hostfit_t11_0486,0,445000,0,131000,0
hostfit_t11_0487,0,167000,0,376000,0
hostfit_t11_0488,0,0,0,32708,0
hostfit_t11_0489,0,66796,0,164000,0
hostfit_t11_0490,0,334000,0,65417,0
hostfit_t11_0491,0,77928,0,32708,0
hostfit_t11_0492,0,33398,0,32708,0
hostfit_t11_0493,0,334000,0,981000,0
hostfit_t11_0494,0,289000,0,49063,0
hostfit_t11_0495,0,334000,0,65417,0
hostfit_t11_0496,0,445000,0,16354,0
hostfit_t11_0497,0,445000,0,360000,0
hostfit_t11_0498,0,289000,0,65417,0
hostfit_t11_0499,0,334000,0,0,0
hostfit_t11_0500,0,445000,0,16354,0
hostfit_t11_0501,0,445000,0,0,0
hostfit_t11_0502,0,256000,0,0,0
hostfit_t11_0503,0,334000,0,131000,0
hostfit_t11_0504,0,445000,0,278000,0
hostfit_t11_0505,0,668000,0,49063,0
hostfit_t11_0506,0,557000,0,245000,0
hostfit_t11_0507,0,445000,0,654000,0
hostfit_t11_0508,0,668000,0,409000,0
hostfit_t11_0509,0,334000,0,278000,0
hostfit_t11_0510,0,445000,0,818000,0
hostfit_t11_0511,0,77928,0,114000,0
hostfit_t11_0512,0,278000,0,16354,0
hostfit_t11_0513,0,156000,0,32708,0
hostfit_t11_0514,0,234000,0,81771,0
hostfit_t11_0515,0,668000,0,981000,0
hostfit_t11_0516,0,278000,0,164000,0
hostfit_t11_0517,0,334000,0,229000,0
hostfit_t11_0518,0,668000,0,981000,0
hostfit_t11_0519,0,89061,0,81771,0
hostfit_t11_0520,0,334000,0,393000,0
hostfit_t11_0521,0,33398,0,213000,0
hostfit_t11_0522,0,557000,0,654000,0
hostfit_t11_0523,0,668000,0,409000,0
hostfit_t11_0524,0,557000,0,1140000,0
hostfit_t11_0525,0,557000,0,1140000,0
hostfit_t11_0526,0,334000,0,491000,0
hostfit_t11_0527,0,668000,0,981000,0
hostfit_t11_0528,0,445000,0,81771,0
hostfit_t12_0529,0,2e+05,0,0,361000
hostfit_t12_0530,0,557000,0,0,204000
hostfit_t12_0531,0,668000,0,0,627000
hostfit_t12_0532,0,668000,0,0,706000
hostfit_t12_0533,0,445000,0,0,235000
hostfit_t12_0534,0,557000,0,0,235000
hostfit_t12_0535,0,289000,0,0,78421
hostfit_t12_0536,0,22265,0,0,141000
hostfit_t12_0537,0,334000,0,0,165000
hostfit_t12_0538,0,223000,0,0,54894
hostfit_t12_0539,0,334000,0,0,235000
hostfit_t12_0540,0,44530,0,0,133000
hostfit_t12_0541,0,557000,0,0,110000
hostfit_t12_0542,0,557000,0,0,204000
hostfit_t12_0543,0,557000,0,0,157000
hostfit_t12_0544,0,668000,0,0,235000
hostfit_t12_0545,0,557000,0,0,39210
hostfit_t12_0546,0,668000,0,0,141000
hostfit_t12_0547,0,223000,0,0,31368
hostfit_t12_0548,0,557000,0,0,94105
hostfit_t12_0549,0,445000,0,0,39210
hostfit_t12_0550,0,557000,0,0,180000
hostfit_t12_0551,0,668000,0,0,180000
hostfit_t12_0552,0,557000,0,0,220000
hostfit_t12_0553,0,223000,0,0,70579
hostfit_t12_0554,0,22265,0,0,0
hostfit_t12_0555,0,223000,0,0,314000
hostfit_t12_0556,0,668000,0,0,274000
hostfit_t12_0557,0,445000,0,0,392000
hostfit_t12_0558,0,278000,0,0,149000
hostfit_t12_0559,0,0,0,0,7842.1
hostfit_t12_0560,0,668000,0,0,157000
hostfit_t12_0561,0,278000,0,0,157000
hostfit_t12_0562,0,223000,0,0,86263
hostfit_t12_0563,0,390000,0,0,54894
hostfit_t12_0564,0,22265,0,0,118000
hostfit_t12_0565,0,668000,0,0,706000
hostfit_t12_0566,0,557000,0,0,549000
hostfit_t12_0567,0,77928,0,0,0
hostfit_t12_0568,0,557000,0,0,588000
hostfit_t12_0569,0,668000,0,0,627000
hostfit_t12_0570,0,557000,0,0,549000
hostfit_t12_0571,0,111000,0,0,588000
