sample_id,Leaf371,Leaf405,Leaf313,Leaf220,Leaf33,Leaf245,Leaf285,Leaf88,Leaf67,Leaf314,Leaf87,Leaf299,Leaf129,Leaf427,Leaf41,Leaf185,Leaf61,Leaf187,Leaf289,Leaf466,Leaf3,Leaf339,Leaf5,Leaf456,Leaf225,Leaf2,Leaf68,Leaf99,Leaf76,Leaf254,Leaf42,Leaf359,Leaf91,Leaf126,Leaf78,Leaf416,Leaf151,Leaf83,Leaf86,Leaf336,Leaf145,Leaf50,Leaf26,Leaf391,Leaf233,Leaf177,Leaf337,Leaf161,Leaf10,Leaf90,Leaf262,Leaf420,Leaf28,Leaf32,Leaf335,Leaf242,Leaf304,Leaf62,Leaf311,Leaf122,Leaf183,DC3000,Leaf354,Leaf51,Leaf106,Leaf222,Leaf30,Leaf203,Leaf263,Leaf34,Leaf58,Leaf49,Leaf344,Leaf267,Leaf160,Leaf131,Leaf396,Leaf15,Leaf85,Leaf64,Leaf434,Leaf261,Leaf306,Leaf69,Leaf70,Leaf265,Leaf208,Leaf369,Leaf53,Leaf357,Leaf75,Leaf137,Leaf82,Leaf361,Leaf363,Leaf141,Leaf168,Leaf351,Leaf443,Leaf380,Leaf394,Leaf324,Leaf257,Leaf127,Leaf130,Leaf164,Leaf176,Leaf280,Leaf189,Leaf132,Leaf264,Leaf201,Leaf216,Leaf231,Leaf234,Leaf274,Leaf226,Leaf288,Leaf326,Leaf334,Leaf343,Leaf406,Leaf412,Leaf454,Leaf17,Leaf13,Leaf21,Leaf446,Leaf182,Leaf180
S_579,5825,894,121,1209,110,436,299,2996,592,0,0,87,32,18,7,2,158,0,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_580,3402,494,75,669,635,175,128,597,757,0,0,46,27,81,9,1,245,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_581,3467,1137,165,1386,572,682,212,5423,485,0,0,368,96,58,3,1,161,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_582,7943,14171,1978,942,1100,2346,1669,5449,981,0,0,416,71,760,17,4,734,0,9,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_583,3691,513,61,1039,105,1997,2127,2235,1313,0,0,311,128,429,8,4,169,30,9,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_584,2329,2007,329,477,268,58,181,2951,534,0,0,78,1,129,3,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_585,1458,1251,174,598,126,117,34,480,405,0,0,52,4,142,3,1,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_586,5450,1523,191,2174,257,270,470,2925,1050,0,0,154,68,302,7,2,46,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_587,4019,1560,223,829,197,96,81,1725,567,0,0,54,15,224,8,0,64,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_588,10384,3122,473,3518,364,652,294,3891,980,0,0,204,64,800,18,2,441,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
