analysis_set,budget_pairs,method,partitions,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_test_pairs,fallback_rate,mean_training_interactions,mean_test_taxon_coverage
schafer_phyllosphere_2022,5,PLNNetwork,20,0.1365618820941636,0.0780302895518384,0.6417341607695988,0.09360811453828383,255.15,,,
schafer_phyllosphere_2022,5,Poisson GLMNet,20,0.2041479647736467,0.19418432644268446,0.6409145409291043,0.13108786525756214,255.15,,,
schafer_phyllosphere_2022,5,SPIEC-EASI,20,0.03337116181703984,0.01935614865443817,0.49906462047422534,0.001264765751360091,255.15,,,
schafer_phyllosphere_2022,5,SparCC,20,0.1785151274820085,0.09219247633928891,0.8766388197184132,0.05291334332209507,255.15,,,
schafer_phyllosphere_2022,10,Fixed mean,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,,,
schafer_phyllosphere_2022,10,LENS distributed,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,1.0,0.1,0.10784313725490195
schafer_phyllosphere_2022,10,LENS restricted,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,1.0,0.05,0.0
schafer_phyllosphere_2022,10,OneNet,20,0.2132674098837884,0.1760631701649478,0.8371928087689662,0.10819988233969728,255.15,,,
schafer_phyllosphere_2022,10,PLNNetwork,20,0.1365618820941636,0.0780302895518384,0.6417341607695988,0.09360811453828383,255.15,,,
schafer_phyllosphere_2022,10,Poisson GLMNet,20,0.2041479647736467,0.19418432644268446,0.6409145409291043,0.13108786525756214,255.15,,,
schafer_phyllosphere_2022,10,SPIEC-EASI,20,0.03337116181703984,0.01935614865443817,0.49906462047422534,0.001264765751360091,255.15,,,
schafer_phyllosphere_2022,10,SparCC,20,0.1785151274820085,0.09219247633928891,0.8766388197184132,0.05291334332209507,255.15,,,
schafer_phyllosphere_2022,20,Fixed mean,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,,,
schafer_phyllosphere_2022,20,LENS distributed,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,1.0,0.4,0.16960784313725488
schafer_phyllosphere_2022,20,LENS restricted,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,1.0,0.4,0.0
schafer_phyllosphere_2022,20,OneNet,20,0.2132674098837884,0.1760631701649478,0.8371928087689662,0.10819988233969728,255.15,,,
schafer_phyllosphere_2022,20,PLNNetwork,20,0.1365618820941636,0.0780302895518384,0.6417341607695988,0.09360811453828383,255.15,,,
schafer_phyllosphere_2022,20,Poisson GLMNet,20,0.2041479647736467,0.19418432644268446,0.6409145409291043,0.13108786525756214,255.15,,,
schafer_phyllosphere_2022,20,SPIEC-EASI,20,0.03337116181703984,0.01935614865443817,0.49906462047422534,0.001264765751360091,255.15,,,
schafer_phyllosphere_2022,20,SparCC,20,0.1785151274820085,0.09219247633928891,0.8766388197184132,0.05291334332209507,255.15,,,
schafer_phyllosphere_2022,50,Fixed mean,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,,,
schafer_phyllosphere_2022,50,LENS distributed,20,0.30241775861584214,0.08703572420883772,0.9055425746503263,0.03909098209729137,255.15,0.95,1.0,0.33431372549019606
schafer_phyllosphere_2022,50,LENS restricted,20,0.2982729333024662,0.09119438082826258,0.9056638478436957,0.03892898300421173,255.15,0.9,1.2,0.0
schafer_phyllosphere_2022,50,OneNet,20,0.2132674098837884,0.1760631701649478,0.8371928087689662,0.10819988233969728,255.15,,,
schafer_phyllosphere_2022,50,PLNNetwork,20,0.1365618820941636,0.0780302895518384,0.6417341607695988,0.09360811453828383,255.15,,,
schafer_phyllosphere_2022,50,Poisson GLMNet,20,0.2041479647736467,0.19418432644268446,0.6409145409291043,0.13108786525756214,255.15,,,
schafer_phyllosphere_2022,50,SPIEC-EASI,20,0.03337116181703984,0.01935614865443817,0.49906462047422534,0.001264765751360091,255.15,,,
schafer_phyllosphere_2022,50,SparCC,20,0.1785151274820085,0.09219247633928891,0.8766388197184132,0.05291334332209507,255.15,,,
schafer_phyllosphere_2022,100,Fixed mean,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,,,
schafer_phyllosphere_2022,100,LENS distributed,20,0.3120624221649341,0.11173662922911749,0.9005248417597389,0.04129540198774282,255.15,0.55,2.35,0.5225490196078432
schafer_phyllosphere_2022,100,LENS restricted,20,0.26690646593545647,0.1261783823077169,0.878261615920576,0.08367815320539718,255.15,0.45,2.55,0.0
schafer_phyllosphere_2022,100,OneNet,20,0.2132674098837884,0.1760631701649478,0.8371928087689662,0.10819988233969728,255.15,,,
schafer_phyllosphere_2022,100,PLNNetwork,20,0.1365618820941636,0.0780302895518384,0.6417341607695988,0.09360811453828383,255.15,,,
schafer_phyllosphere_2022,100,Poisson GLMNet,20,0.2041479647736467,0.19418432644268446,0.6409145409291043,0.13108786525756214,255.15,,,
schafer_phyllosphere_2022,100,SPIEC-EASI,20,0.03337116181703984,0.01935614865443817,0.49906462047422534,0.001264765751360091,255.15,,,
schafer_phyllosphere_2022,100,SparCC,20,0.1785151274820085,0.09219247633928891,0.8766388197184132,0.05291334332209507,255.15,,,
schafer_phyllosphere_2022,200,Fixed mean,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,,,
schafer_phyllosphere_2022,200,LENS distributed,20,0.28127537065127994,0.12843019459597677,0.8420949355309691,0.11976756705325978,255.15,0.1,5.0,0.7558823529411764
schafer_phyllosphere_2022,200,LENS restricted,20,0.2672042018466046,0.13605342009929342,0.8696612671572209,0.07159465864564495,255.15,0.2,4.7,0.0
schafer_phyllosphere_2022,200,OneNet,20,0.2132674098837884,0.1760631701649478,0.8371928087689662,0.10819988233969728,255.15,,,
schafer_phyllosphere_2022,200,PLNNetwork,20,0.1365618820941636,0.0780302895518384,0.6417341607695988,0.09360811453828383,255.15,,,
schafer_phyllosphere_2022,200,Poisson GLMNet,20,0.2041479647736467,0.19418432644268446,0.6409145409291043,0.13108786525756214,255.15,,,
schafer_phyllosphere_2022,200,SPIEC-EASI,20,0.03337116181703984,0.01935614865443817,0.49906462047422534,0.001264765751360091,255.15,,,
schafer_phyllosphere_2022,200,SparCC,20,0.1785151274820085,0.09219247633928891,0.8766388197184132,0.05291334332209507,255.15,,,
schafer_phyllosphere_2022,357,Fixed mean,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,,,
schafer_phyllosphere_2022,357,LENS distributed,20,0.3225036557941757,0.11723918728692513,0.9013410786473122,0.044208478447737315,255.15,0.0,9.2,0.9088235294117647
schafer_phyllosphere_2022,357,LENS restricted,20,0.27070524037131766,0.1481655863454777,0.8193980156195757,0.1490639899096565,255.15,0.05,8.25,0.0
schafer_phyllosphere_2022,357,OneNet,20,0.2132674098837884,0.1760631701649478,0.8371928087689662,0.10819988233969728,255.15,,,
schafer_phyllosphere_2022,357,PLNNetwork,20,0.1365618820941636,0.0780302895518384,0.6417341607695988,0.09360811453828383,255.15,,,
schafer_phyllosphere_2022,357,Poisson GLMNet,20,0.2041479647736467,0.19418432644268446,0.6409145409291043,0.13108786525756214,255.15,,,
schafer_phyllosphere_2022,357,SPIEC-EASI,20,0.03337116181703984,0.01935614865443817,0.49906462047422534,0.001264765751360091,255.15,,,
schafer_phyllosphere_2022,357,SparCC,20,0.1785151274820085,0.09219247633928891,0.8766388197184132,0.05291334332209507,255.15,,,
