analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
schafer_phyllosphere_2022,12,200,distributed,lambda=0.1,3,0.3853632478632478
schafer_phyllosphere_2022,12,200,distributed,lambda=1,3,0.4537037037037037
schafer_phyllosphere_2022,12,200,distributed,lambda=10,3,0.4293447293447293
schafer_phyllosphere_2022,12,357,restricted,lambda=0.01,2,0.12777777777777777
schafer_phyllosphere_2022,12,357,restricted,lambda=0.1,2,0.12777777777777777
schafer_phyllosphere_2022,12,357,restricted,lambda=1,2,0.12777777777777777
schafer_phyllosphere_2022,12,357,restricted,lambda=10,2,0.12777777777777777
schafer_phyllosphere_2022,12,357,distributed,lambda=0.01,3,0.1714479889715876
schafer_phyllosphere_2022,12,357,distributed,lambda=0.1,3,0.20111369478129112
schafer_phyllosphere_2022,12,357,distributed,lambda=1,3,0.33815956694568666
schafer_phyllosphere_2022,12,357,distributed,lambda=10,3,0.275326635924462
schafer_phyllosphere_2022,13,20,restricted,lambda=0.01,2,0.75
schafer_phyllosphere_2022,13,20,restricted,lambda=0.1,2,0.75
schafer_phyllosphere_2022,13,20,restricted,lambda=1,2,0.75
schafer_phyllosphere_2022,13,20,restricted,lambda=10,2,0.75
schafer_phyllosphere_2022,13,50,restricted,lambda=0.01,2,0.5
schafer_phyllosphere_2022,13,50,restricted,lambda=0.1,2,0.5
schafer_phyllosphere_2022,13,50,restricted,lambda=1,2,0.5
schafer_phyllosphere_2022,13,50,restricted,lambda=10,2,0.5
schafer_phyllosphere_2022,13,50,distributed,lambda=0.01,2,0.6666666666666666
schafer_phyllosphere_2022,13,50,distributed,lambda=0.1,2,0.6666666666666666
schafer_phyllosphere_2022,13,50,distributed,lambda=1,2,0.6666666666666666
schafer_phyllosphere_2022,13,50,distributed,lambda=10,2,0.6666666666666666
schafer_phyllosphere_2022,13,100,restricted,lambda=0.01,3,0.5666666666666667
schafer_phyllosphere_2022,13,100,restricted,lambda=0.1,3,0.5666666666666667
schafer_phyllosphere_2022,13,100,restricted,lambda=1,3,0.5666666666666667
schafer_phyllosphere_2022,13,100,restricted,lambda=10,3,0.5666666666666667
schafer_phyllosphere_2022,13,100,distributed,lambda=0.01,2,0.29166666666666663
schafer_phyllosphere_2022,13,100,distributed,lambda=0.1,2,0.29166666666666663
schafer_phyllosphere_2022,13,100,distributed,lambda=1,2,0.29166666666666663
schafer_phyllosphere_2022,13,100,distributed,lambda=10,2,0.29166666666666663
schafer_phyllosphere_2022,13,200,restricted,lambda=0.01,3,0.24444444444444446
schafer_phyllosphere_2022,13,200,restricted,lambda=0.1,3,0.4152777777777778
schafer_phyllosphere_2022,13,200,restricted,lambda=1,3,0.4140522875816994
schafer_phyllosphere_2022,13,200,restricted,lambda=10,3,0.2611111111111111
schafer_phyllosphere_2022,13,200,distributed,lambda=0.01,3,0.46428571428571425
schafer_phyllosphere_2022,13,200,distributed,lambda=0.1,3,0.46428571428571425
schafer_phyllosphere_2022,13,200,distributed,lambda=1,3,0.46428571428571425
schafer_phyllosphere_2022,13,200,distributed,lambda=10,3,0.46428571428571425
schafer_phyllosphere_2022,13,357,restricted,lambda=0.01,3,0.6223014458308577
schafer_phyllosphere_2022,13,357,restricted,lambda=0.1,3,0.5651515151515151
schafer_phyllosphere_2022,13,357,restricted,lambda=1,3,0.3361111111111111
schafer_phyllosphere_2022,13,357,restricted,lambda=10,3,0.28850008016674683
schafer_phyllosphere_2022,13,357,distributed,lambda=0.01,3,0.15797024030719684
schafer_phyllosphere_2022,13,357,distributed,lambda=0.1,3,0.13565108634074152
schafer_phyllosphere_2022,13,357,distributed,lambda=1,3,0.1488221587859269
schafer_phyllosphere_2022,13,357,distributed,lambda=10,3,0.17987580338211473
schafer_phyllosphere_2022,14,100,distributed,lambda=0.01,3,0.5208333333333334
schafer_phyllosphere_2022,14,100,distributed,lambda=0.1,3,0.5208333333333334
schafer_phyllosphere_2022,14,100,distributed,lambda=1,3,0.5208333333333334
schafer_phyllosphere_2022,14,100,distributed,lambda=10,3,0.5208333333333334
