analysis_set,budget_pairs,repeat,difference,comparison,metric
schafer_phyllosphere_2022,10,5,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,6,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,7,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,8,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,9,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,10,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,11,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,12,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,13,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,14,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,15,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,16,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,17,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,18,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,19,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,20,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,1,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,2,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,3,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,4,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,5,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,6,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,7,0.0,LENS distributed minus LENS restricted,auprc
