analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,PLNNetwork,0.1111111111111111,0.5,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,Poisson GLMNet,0.1746031746031746,0.5357142857142857,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,SparCC,0.09203530300093068,0.35331632653061223,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,SPIEC-EASI,0.1388888888888889,0.522640306122449,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,LENS restricted,0.2153168959103572,0.5382653061224489,False,lambda=0.01,33.0,242.0,0.0,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,LENS distributed,0.17418737949941387,0.6288265306122449,False,lambda=0.01,40.0,235.0,1.0,1.0
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,OneNet,0.06990135708461166,0.3565426170468187,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,Fixed mean,0.07041670310964694,0.5126050420168067,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,PLNNetwork,0.05555555555555555,0.5,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,Poisson GLMNet,0.05555555555555555,0.4789915966386555,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,SparCC,0.08180812732458197,0.5222088835534213,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,SPIEC-EASI,0.0761904761904762,0.5522208883553421,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,LENS restricted,0.07041670310964694,0.5126050420168067,True,lambda=10,2.0,3.0,0.0,0.0
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,LENS distributed,0.07041670310964694,0.5126050420168067,True,lambda=0.01,0.0,5.0,0.18181818181818182,0.023809523809523808
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,OneNet,0.06990135708461166,0.3565426170468187,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,Fixed mean,0.07041670310964694,0.5126050420168067,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,PLNNetwork,0.05555555555555555,0.5,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,Poisson GLMNet,0.05555555555555555,0.4789915966386555,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,SparCC,0.08180812732458197,0.5222088835534213,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,SPIEC-EASI,0.0761904761904762,0.5522208883553421,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,LENS restricted,0.07467464171425321,0.4441776710684273,False,lambda=10,3.0,7.0,0.0,0.0
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,LENS distributed,0.07041670310964694,0.5126050420168067,True,lambda=10,2.0,8.0,0.2727272727272727,0.03968253968253968
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,OneNet,0.06990135708461166,0.3565426170468187,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,Fixed mean,0.07041670310964694,0.5126050420168067,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,PLNNetwork,0.05555555555555555,0.5,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,Poisson GLMNet,0.05555555555555555,0.4789915966386555,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,SparCC,0.08180812732458197,0.5222088835534213,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,SPIEC-EASI,0.0761904761904762,0.5522208883553421,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,LENS restricted,0.0886568675798229,0.37815126050420167,False,lambda=10,5.0,15.0,0.0,0.0
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,LENS distributed,0.12504913575304205,0.5942376950780313,False,lambda=1,4.0,16.0,0.5,0.21428571428571427
carlstrom_phyllosphere_2019,3,ok,126,7,119,50,OneNet,0.06990135708461166,0.3565426170468187,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,50,Fixed mean,0.07041670310964694,0.5126050420168067,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,50,PLNNetwork,0.05555555555555555,0.5,,,,,,
carlstrom_phyllosphere_2019,3,ok,126,7,119,50,Poisson GLMNet,0.05555555555555555,0.4789915966386555,,,,,,
