analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
carlstrom_phyllosphere_2019,4,100,distributed,lambda=0.01,3,0.42565763685657004
carlstrom_phyllosphere_2019,4,100,distributed,lambda=0.1,3,0.39017181085861824
carlstrom_phyllosphere_2019,4,100,distributed,lambda=1,3,0.33437978419046704
carlstrom_phyllosphere_2019,4,100,distributed,lambda=10,3,0.3121009357954662
carlstrom_phyllosphere_2019,4,200,restricted,lambda=0.01,3,0.2438866334679468
carlstrom_phyllosphere_2019,4,200,restricted,lambda=0.1,3,0.27105179101029836
carlstrom_phyllosphere_2019,4,200,restricted,lambda=1,3,0.2669690214550988
carlstrom_phyllosphere_2019,4,200,restricted,lambda=10,3,0.2218627576168953
carlstrom_phyllosphere_2019,4,200,distributed,lambda=0.01,3,0.3553410301758813
carlstrom_phyllosphere_2019,4,200,distributed,lambda=0.1,3,0.3640540983985025
carlstrom_phyllosphere_2019,4,200,distributed,lambda=1,3,0.3410337102885297
carlstrom_phyllosphere_2019,4,200,distributed,lambda=10,3,0.23202184664746373
carlstrom_phyllosphere_2019,4,275,restricted,lambda=0.01,3,0.2573058659629176
carlstrom_phyllosphere_2019,4,275,restricted,lambda=0.1,3,0.24225981069408195
carlstrom_phyllosphere_2019,4,275,restricted,lambda=1,3,0.21275344301312452
carlstrom_phyllosphere_2019,4,275,restricted,lambda=10,3,0.1936832068652586
carlstrom_phyllosphere_2019,4,275,distributed,lambda=0.01,3,0.3121276976625112
carlstrom_phyllosphere_2019,4,275,distributed,lambda=0.1,3,0.3372549082936518
carlstrom_phyllosphere_2019,4,275,distributed,lambda=1,3,0.32848155044901156
carlstrom_phyllosphere_2019,4,275,distributed,lambda=10,3,0.21095815722314581
carlstrom_phyllosphere_2019,5,10,restricted,lambda=0.01,2,0.625
carlstrom_phyllosphere_2019,5,10,restricted,lambda=0.1,2,0.625
carlstrom_phyllosphere_2019,5,10,restricted,lambda=1,2,0.625
carlstrom_phyllosphere_2019,5,10,restricted,lambda=10,2,0.625
carlstrom_phyllosphere_2019,5,10,distributed,lambda=0.01,2,0.6666666666666666
carlstrom_phyllosphere_2019,5,10,distributed,lambda=0.1,2,0.6666666666666666
carlstrom_phyllosphere_2019,5,10,distributed,lambda=1,2,0.6666666666666666
carlstrom_phyllosphere_2019,5,10,distributed,lambda=10,2,0.6666666666666666
carlstrom_phyllosphere_2019,5,20,restricted,lambda=0.01,3,0.45555555555555555
carlstrom_phyllosphere_2019,5,20,restricted,lambda=0.1,3,0.47222222222222215
carlstrom_phyllosphere_2019,5,20,restricted,lambda=1,3,0.611111111111111
carlstrom_phyllosphere_2019,5,20,restricted,lambda=10,3,0.5277777777777778
carlstrom_phyllosphere_2019,5,20,distributed,lambda=0.01,3,0.48333333333333334
carlstrom_phyllosphere_2019,5,20,distributed,lambda=0.1,3,0.48333333333333334
carlstrom_phyllosphere_2019,5,20,distributed,lambda=1,3,0.48333333333333334
carlstrom_phyllosphere_2019,5,20,distributed,lambda=10,3,0.48333333333333334
carlstrom_phyllosphere_2019,5,50,restricted,lambda=0.01,3,0.5584967320261438
carlstrom_phyllosphere_2019,5,50,restricted,lambda=0.1,3,0.5227824463118581
carlstrom_phyllosphere_2019,5,50,restricted,lambda=1,3,0.3275203010497128
carlstrom_phyllosphere_2019,5,50,restricted,lambda=10,3,0.21192850359517026
carlstrom_phyllosphere_2019,5,50,distributed,lambda=0.01,3,0.5946078431372549
carlstrom_phyllosphere_2019,5,50,distributed,lambda=0.1,3,0.5026886512180629
carlstrom_phyllosphere_2019,5,50,distributed,lambda=1,3,0.562037037037037
carlstrom_phyllosphere_2019,5,50,distributed,lambda=10,3,0.35705636955636955
carlstrom_phyllosphere_2019,5,100,restricted,lambda=0.01,3,0.18279315244115354
carlstrom_phyllosphere_2019,5,100,restricted,lambda=0.1,3,0.19787658143564216
carlstrom_phyllosphere_2019,5,100,restricted,lambda=1,3,0.21215975981960633
carlstrom_phyllosphere_2019,5,100,restricted,lambda=10,3,0.1591959364559535
carlstrom_phyllosphere_2019,5,100,distributed,lambda=0.01,3,0.32360113742466684
carlstrom_phyllosphere_2019,5,100,distributed,lambda=0.1,3,0.28342902711323764
carlstrom_phyllosphere_2019,5,100,distributed,lambda=1,3,0.2051734618038966
carlstrom_phyllosphere_2019,5,100,distributed,lambda=10,3,0.2163529264616221
carlstrom_phyllosphere_2019,5,200,restricted,lambda=0.01,3,0.31438459206932845
carlstrom_phyllosphere_2019,5,200,restricted,lambda=0.1,3,0.3329756544074631
carlstrom_phyllosphere_2019,5,200,restricted,lambda=1,3,0.2582551764253827
carlstrom_phyllosphere_2019,5,200,restricted,lambda=10,3,0.2014342336206447
carlstrom_phyllosphere_2019,5,200,distributed,lambda=0.01,3,0.43195537784637966
carlstrom_phyllosphere_2019,5,200,distributed,lambda=0.1,3,0.4556384464058874
carlstrom_phyllosphere_2019,5,200,distributed,lambda=1,3,0.3021448146575428
carlstrom_phyllosphere_2019,5,200,distributed,lambda=10,3,0.17770836798905246
carlstrom_phyllosphere_2019,5,275,restricted,lambda=0.01,3,0.2845985393658606
carlstrom_phyllosphere_2019,5,275,restricted,lambda=0.1,3,0.28086185822498505
carlstrom_phyllosphere_2019,5,275,restricted,lambda=1,3,0.2366563113369828
carlstrom_phyllosphere_2019,5,275,restricted,lambda=10,3,0.19810258546065532
carlstrom_phyllosphere_2019,5,275,distributed,lambda=0.01,3,0.24844453664032065
carlstrom_phyllosphere_2019,5,275,distributed,lambda=0.1,3,0.2407666317553431
carlstrom_phyllosphere_2019,5,275,distributed,lambda=1,3,0.1883088570947171
carlstrom_phyllosphere_2019,5,275,distributed,lambda=10,3,0.15674792081767777
carlstrom_phyllosphere_2019,6,50,restricted,lambda=0.01,3,0.23786181139122312
carlstrom_phyllosphere_2019,6,50,restricted,lambda=0.1,3,0.21008403361344538
carlstrom_phyllosphere_2019,6,50,restricted,lambda=1,3,0.1934173669467787
carlstrom_phyllosphere_2019,6,50,restricted,lambda=10,3,0.08647292250233425
carlstrom_phyllosphere_2019,6,50,distributed,lambda=0.01,3,0.11186974789915966
carlstrom_phyllosphere_2019,6,50,distributed,lambda=0.1,3,0.14877450980392157
carlstrom_phyllosphere_2019,6,50,distributed,lambda=1,3,0.23488562091503265
carlstrom_phyllosphere_2019,6,50,distributed,lambda=10,3,0.24414488017429195
carlstrom_phyllosphere_2019,6,100,restricted,lambda=0.01,3,0.260293601672912
carlstrom_phyllosphere_2019,6,100,restricted,lambda=0.1,3,0.2684121434121434
