analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered,panel,budget
butyrate_assembly_2021,15,ok,8,7,1,10,OneNet,0.826020408163265,0.142857142857143,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,15,ok,8,7,1,10,LENS restricted,0.937925170068027,0.571428571428571,FALSE,lambda=0.01,6,4,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,15,ok,8,7,1,10,LENS distributed,0.873639455782313,0.285714285714286,FALSE,lambda=10,7,3,0.333333333333333,0.25,Butyrate (17/20 partitions),10
butyrate_assembly_2021,15,ok,8,7,1,13,OneNet,0.826020408163265,0.142857142857143,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,15,ok,8,7,1,13,LENS restricted,0.873639455782313,0.285714285714286,FALSE,lambda=10,9,4,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,15,ok,8,7,1,13,LENS distributed,0.909353741496599,0.428571428571428,FALSE,lambda=1,8,5,0.333333333333333,0.25,Butyrate (17/20 partitions),13
butyrate_assembly_2021,16,ok,29,22,7,5,OneNet,0.796824427377451,0.451298701298701,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,16,ok,29,22,7,5,LENS restricted,0.740997285525195,0.571428571428571,TRUE,lambda=0.01,5,0,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,16,ok,29,22,7,5,LENS distributed,0.740997285525195,0.571428571428571,TRUE,lambda=10,3,2,0.4,0.206896551724138,Butyrate (17/20 partitions),5
butyrate_assembly_2021,16,ok,29,22,7,10,OneNet,0.796824427377451,0.451298701298701,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,16,ok,29,22,7,10,LENS restricted,0.740997285525195,0.571428571428571,TRUE,lambda=0.01,10,0,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,16,ok,29,22,7,10,LENS distributed,0.710027937320091,0.461038961038961,FALSE,lambda=10,7,3,0.6,0.482758620689655,Butyrate (17/20 partitions),10
butyrate_assembly_2021,16,ok,29,22,7,13,OneNet,0.796824427377451,0.451298701298701,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,16,ok,29,22,7,13,LENS restricted,0.740997285525195,0.571428571428571,TRUE,lambda=0.01,13,0,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,16,ok,29,22,7,13,LENS distributed,0.710027937320091,0.461038961038961,FALSE,lambda=10,10,3,0.6,0.482758620689655,Butyrate (17/20 partitions),13
butyrate_assembly_2021,17,ok,28,22,6,5,OneNet,0.827038257530248,0.515151515151515,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,17,ok,28,22,6,5,LENS restricted,0.759582481620273,0.477272727272727,TRUE,lambda=0.01,5,0,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,17,ok,28,22,6,5,LENS distributed,0.759582481620273,0.477272727272727,TRUE,lambda=10,3,2,0.3,0.107142857142857,Butyrate (17/20 partitions),5
butyrate_assembly_2021,17,ok,28,22,6,10,OneNet,0.827038257530248,0.515151515151515,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,17,ok,28,22,6,10,LENS restricted,0.759582481620273,0.477272727272727,TRUE,lambda=10,8,2,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,17,ok,28,22,6,10,LENS distributed,0.791834424890002,0.560606060606061,FALSE,lambda=10,7,3,0.5,0.321428571428571,Butyrate (17/20 partitions),10
