analysis_set,budget_pairs,comparison,metric,partitions,mean_difference,sd_difference,median_difference,win_fraction,tie_fraction
carlstrom_phyllosphere_2019,275,LENS distributed minus LENS restricted,auroc,20,0.02296813445606375,0.07816241174184221,0.02562321937321943,0.6,0.0
carlstrom_phyllosphere_2019,275,LENS distributed minus OneNet,auprc,20,0.10686670026066607,0.07903237384092421,0.08422741525726515,1.0,0.0
carlstrom_phyllosphere_2019,275,LENS distributed minus OneNet,auroc,20,0.19359491278974011,0.10671343705230692,0.19646443118310142,0.95,0.0
carlstrom_phyllosphere_2019,275,LENS restricted minus Fixed mean,auprc,20,0.07422757522764027,0.06331109844460481,0.07551235816724539,0.9,0.0
carlstrom_phyllosphere_2019,275,LENS restricted minus Fixed mean,auroc,20,0.15312417728638808,0.09139097414399838,0.14673994597839135,0.95,0.0
carlstrom_phyllosphere_2019,275,LENS restricted minus OneNet,auprc,20,0.08598243045120217,0.05572796302639344,0.08662447807221646,1.0,0.0
carlstrom_phyllosphere_2019,275,LENS restricted minus OneNet,auroc,20,0.17062677833367634,0.10974665995334597,0.17340902768117966,0.95,0.0
schafer_phyllosphere_2022,5,LENS distributed minus Fixed mean,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,5,LENS distributed minus Fixed mean,auroc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,5,LENS distributed minus LENS restricted,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,5,LENS distributed minus LENS restricted,auroc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,5,LENS distributed minus OneNet,auprc,20,0.08308873176749673,0.1571517859842101,0.1154999105068977,0.8,0.0
schafer_phyllosphere_2022,5,LENS distributed minus OneNet,auroc,20,0.06963907405746068,0.10622207591533099,0.05882107228856459,0.8,0.0
schafer_phyllosphere_2022,5,LENS restricted minus Fixed mean,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,5,LENS restricted minus Fixed mean,auroc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,5,LENS restricted minus OneNet,auprc,20,0.08308873176749673,0.1571517859842101,0.1154999105068977,0.8,0.0
schafer_phyllosphere_2022,5,LENS restricted minus OneNet,auroc,20,0.06963907405746068,0.10622207591533099,0.05882107228856459,0.8,0.0
schafer_phyllosphere_2022,10,LENS distributed minus Fixed mean,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,10,LENS distributed minus Fixed mean,auroc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,10,LENS distributed minus LENS restricted,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,10,LENS distributed minus LENS restricted,auroc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,10,LENS distributed minus OneNet,auprc,20,0.08308873176749673,0.1571517859842101,0.1154999105068977,0.8,0.0
schafer_phyllosphere_2022,10,LENS distributed minus OneNet,auroc,20,0.06963907405746068,0.10622207591533099,0.05882107228856459,0.8,0.0
schafer_phyllosphere_2022,10,LENS restricted minus Fixed mean,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,10,LENS restricted minus Fixed mean,auroc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,10,LENS restricted minus OneNet,auprc,20,0.08308873176749673,0.1571517859842101,0.1154999105068977,0.8,0.0
schafer_phyllosphere_2022,10,LENS restricted minus OneNet,auroc,20,0.06963907405746068,0.10622207591533099,0.05882107228856459,0.8,0.0
schafer_phyllosphere_2022,20,LENS distributed minus Fixed mean,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,20,LENS distributed minus Fixed mean,auroc,20,0.0,0.0,0.0,0.0,1.0
