analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,15,5,restricted,lambda=1,2,0.7916666666666666
butyrate_assembly_2021,15,5,restricted,lambda=10,2,0.7916666666666666
butyrate_assembly_2021,15,10,restricted,lambda=0.01,3,0.75
butyrate_assembly_2021,15,10,restricted,lambda=0.1,3,0.6666666666666666
butyrate_assembly_2021,15,10,restricted,lambda=1,3,0.5833333333333333
butyrate_assembly_2021,15,10,restricted,lambda=10,3,0.7222222222222222
butyrate_assembly_2021,15,10,distributed,lambda=0.01,3,0.9444444444444443
butyrate_assembly_2021,15,10,distributed,lambda=0.1,3,0.9444444444444443
butyrate_assembly_2021,15,10,distributed,lambda=1,3,0.9444444444444443
butyrate_assembly_2021,15,10,distributed,lambda=10,3,0.9444444444444443
butyrate_assembly_2021,15,13,restricted,lambda=0.01,3,0.6944444444444443
butyrate_assembly_2021,15,13,restricted,lambda=0.1,3,0.6944444444444443
butyrate_assembly_2021,15,13,restricted,lambda=1,3,0.6388888888888888
butyrate_assembly_2021,15,13,restricted,lambda=10,3,0.7592592592592592
butyrate_assembly_2021,15,13,distributed,lambda=0.01,3,0.9722222222222222
butyrate_assembly_2021,15,13,distributed,lambda=0.1,3,0.9722222222222222
butyrate_assembly_2021,15,13,distributed,lambda=1,3,1.0
butyrate_assembly_2021,15,13,distributed,lambda=10,3,0.7962962962962963
butyrate_assembly_2021,16,5,distributed,lambda=0.01,2,1.0
butyrate_assembly_2021,16,5,distributed,lambda=0.1,2,1.0
butyrate_assembly_2021,16,5,distributed,lambda=1,2,1.0
butyrate_assembly_2021,16,5,distributed,lambda=10,2,1.0
butyrate_assembly_2021,16,10,distributed,lambda=0.01,3,0.9444444444444443
butyrate_assembly_2021,16,10,distributed,lambda=0.1,3,0.9444444444444443
butyrate_assembly_2021,16,10,distributed,lambda=1,3,0.9444444444444443
butyrate_assembly_2021,16,10,distributed,lambda=10,3,0.9444444444444443
butyrate_assembly_2021,16,13,distributed,lambda=0.01,3,0.9347222222222221
butyrate_assembly_2021,16,13,distributed,lambda=0.1,3,0.9347222222222221
butyrate_assembly_2021,16,13,distributed,lambda=1,3,0.9347222222222221
butyrate_assembly_2021,16,13,distributed,lambda=10,3,0.9347222222222221
butyrate_assembly_2021,17,5,distributed,lambda=0.01,2,0.75
butyrate_assembly_2021,17,5,distributed,lambda=0.1,2,0.75
butyrate_assembly_2021,17,5,distributed,lambda=1,2,0.75
butyrate_assembly_2021,17,5,distributed,lambda=10,2,0.75
butyrate_assembly_2021,17,10,restricted,lambda=0.01,2,0.8395833333333333
butyrate_assembly_2021,17,10,restricted,lambda=0.1,2,0.8395833333333333
butyrate_assembly_2021,17,10,restricted,lambda=1,2,0.8395833333333333
butyrate_assembly_2021,17,10,restricted,lambda=10,2,0.8395833333333333
butyrate_assembly_2021,17,10,distributed,lambda=0.01,3,0.8333333333333334
butyrate_assembly_2021,17,10,distributed,lambda=0.1,3,0.8333333333333334
butyrate_assembly_2021,17,10,distributed,lambda=1,3,0.8333333333333334
butyrate_assembly_2021,17,10,distributed,lambda=10,3,0.8333333333333334
butyrate_assembly_2021,17,13,restricted,lambda=0.01,2,0.8125396825396825
