analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
schafer_phyllosphere_2022,4,3,500,500,15,485,305,8,lambda=10,0.1514931749810782,0.06999140165626327,0.08150177332481492,0.8884680134680134,0.6984427609427609
schafer_phyllosphere_2022,4,3,1000,1000,26,974,305,8,lambda=0.01,0.2944119010569238,0.06999140165626327,0.2244204994006605,0.8973063973063973,0.6984427609427609
schafer_phyllosphere_2022,4,3,maximum,1219,30,1189,305,8,lambda=0.01,0.30874979905152317,0.06999140165626327,0.2387583973952599,0.9002525252525252,0.6984427609427609
schafer_phyllosphere_2022,4,4,10,10,0,10,305,8,lambda=0.01,0.3146674781952915,0.2360221058670402,0.0786453723282513,0.9259259259259259,0.9267676767676768
schafer_phyllosphere_2022,4,4,20,20,0,20,305,8,lambda=0.01,0.3146674781952915,0.2360221058670402,0.0786453723282513,0.9259259259259259,0.9267676767676768
schafer_phyllosphere_2022,4,4,50,50,1,49,305,8,lambda=0.01,0.3146674781952915,0.2360221058670402,0.0786453723282513,0.9259259259259259,0.9267676767676768
schafer_phyllosphere_2022,4,4,100,100,3,97,305,8,lambda=10,0.35768751010019395,0.2360221058670402,0.12166540423315375,0.9200336700336701,0.9267676767676768
schafer_phyllosphere_2022,4,4,200,200,4,196,305,8,lambda=0.01,0.1154402437568746,0.2360221058670402,-0.1205818621101656,0.744949494949495,0.9267676767676768
schafer_phyllosphere_2022,4,4,500,500,13,487,305,8,lambda=0.01,0.31047290433066294,0.2360221058670402,0.07445079846362274,0.9276094276094276,0.9267676767676768
schafer_phyllosphere_2022,4,4,1000,1000,28,972,305,8,lambda=0.01,0.4086008898508898,0.2360221058670402,0.17257878398384963,0.9414983164983165,0.9267676767676768
schafer_phyllosphere_2022,4,4,maximum,1219,30,1189,305,8,lambda=0.01,0.417767094017094,0.2360221058670402,0.1817449881500538,0.9423400673400673,0.9267676767676768
schafer_phyllosphere_2022,4,5,10,10,0,10,304,7,lambda=0.01,0.34929971988795516,0.1325614403586956,0.21673827952925956,0.8706108706108706,0.8114478114478114
schafer_phyllosphere_2022,4,5,20,20,0,20,304,7,lambda=0.01,0.34929971988795516,0.1325614403586956,0.21673827952925956,0.8706108706108706,0.8114478114478114
schafer_phyllosphere_2022,4,5,50,50,0,50,304,7,lambda=0.01,0.34929971988795516,0.1325614403586956,0.21673827952925956,0.8706108706108706,0.8114478114478114
schafer_phyllosphere_2022,4,5,100,100,0,100,304,7,lambda=0.01,0.34929971988795516,0.1325614403586956,0.21673827952925956,0.8706108706108706,0.8114478114478114
schafer_phyllosphere_2022,4,5,200,200,0,200,304,7,lambda=0.01,0.34929971988795516,0.1325614403586956,0.21673827952925956,0.8706108706108706,0.8114478114478114
schafer_phyllosphere_2022,4,5,500,500,11,489,304,7,lambda=10,0.37164392278902153,0.1325614403586956,0.23908248243032593,0.9081289081289081,0.8114478114478114
schafer_phyllosphere_2022,4,5,1000,1000,23,977,304,7,lambda=0.01,0.46135265700483086,0.1325614403586956,0.32879121664613525,0.9591149591149591,0.8114478114478114
schafer_phyllosphere_2022,4,5,maximum,1220,31,1189,304,7,lambda=0.01,0.46016218081435467,0.1325614403586956,0.32760074045565907,0.9586339586339586,0.8114478114478114
schafer_phyllosphere_2022,5,1,10,10,0,10,305,7,lambda=0.01,0.13117308747533954,0.16772953503820348,-0.03655644756286394,0.8120805369127517,0.8192713326941514
schafer_phyllosphere_2022,5,1,20,20,0,20,305,7,lambda=0.01,0.13117308747533954,0.16772953503820348,-0.03655644756286394,0.8120805369127517,0.8192713326941514
schafer_phyllosphere_2022,5,1,50,50,0,50,305,7,lambda=0.01,0.13117308747533954,0.16772953503820348,-0.03655644756286394,0.8120805369127517,0.8192713326941514
