analysis_set,fold,budget_fraction,family,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,4,0.2,logistic,l2_C=0.1,3,0.8491269841269841
butyrate_assembly_2021,4,0.2,logistic,l2_C=1,3,0.8713492063492062
butyrate_assembly_2021,4,0.2,logistic,l1_C=0.01,3,0.8095238095238094
butyrate_assembly_2021,4,0.2,logistic,l1_C=0.1,3,0.8095238095238094
butyrate_assembly_2021,4,0.2,logistic,l1_C=1,3,0.838015873015873
butyrate_assembly_2021,4,0.2,ranking,C=0.01,3,0.8157936507936507
butyrate_assembly_2021,4,0.2,ranking,C=0.1,3,0.8676455026455026
butyrate_assembly_2021,4,0.2,ranking,C=1,3,0.8411904761904762
butyrate_assembly_2021,4,0.2,boosting,depth=1_l2=1,3,0.8448941798941799
butyrate_assembly_2021,4,0.2,boosting,depth=2_l2=1,3,0.8448941798941799
butyrate_assembly_2021,4,0.4,logistic,l2_C=0.01,3,0.7921381293603517
butyrate_assembly_2021,4,0.4,logistic,l2_C=0.1,3,0.8661373914151692
butyrate_assembly_2021,4,0.4,logistic,l2_C=1,3,0.88187813215591
butyrate_assembly_2021,4,0.4,logistic,l1_C=0.01,3,0.6904761904761906
butyrate_assembly_2021,4,0.4,logistic,l1_C=0.1,3,0.6904761904761906
butyrate_assembly_2021,4,0.4,logistic,l1_C=1,3,0.8911373914151692
butyrate_assembly_2021,4,0.4,ranking,C=0.01,3,0.88187813215591
butyrate_assembly_2021,4,0.4,ranking,C=0.1,3,0.8772485025262803
butyrate_assembly_2021,4,0.4,ranking,C=1,3,0.8725306894751338
butyrate_assembly_2021,4,0.4,boosting,depth=1_l2=1,3,0.8297703222703223
butyrate_assembly_2021,4,0.4,boosting,depth=2_l2=1,3,0.858636456136456
butyrate_assembly_2021,4,0.6,logistic,l2_C=0.01,3,0.9158643342286273
butyrate_assembly_2021,4,0.6,logistic,l2_C=0.1,3,0.9177000541216227
butyrate_assembly_2021,4,0.6,logistic,l2_C=1,3,0.9042268788811617
butyrate_assembly_2021,4,0.6,logistic,l1_C=0.01,3,0.7142857142857143
butyrate_assembly_2021,4,0.6,logistic,l1_C=0.1,3,0.7412081128747796
butyrate_assembly_2021,4,0.6,logistic,l1_C=1,3,0.9183519205062032
butyrate_assembly_2021,4,0.6,ranking,C=0.01,3,0.9099243785492496
butyrate_assembly_2021,4,0.6,ranking,C=0.1,3,0.899134286288569
butyrate_assembly_2021,4,0.6,ranking,C=1,3,0.9093921619411814
butyrate_assembly_2021,4,0.6,boosting,depth=1_l2=1,3,0.9033575150912613
butyrate_assembly_2021,4,0.6,boosting,depth=2_l2=1,3,0.892670003619436
butyrate_assembly_2021,4,0.8,logistic,l2_C=0.01,3,0.8610816589141607
butyrate_assembly_2021,4,0.8,logistic,l2_C=0.1,3,0.8851200354454054
butyrate_assembly_2021,4,0.8,logistic,l2_C=1,3,0.8967064381731126
butyrate_assembly_2021,4,0.8,logistic,l1_C=0.01,3,0.7350088183421516
butyrate_assembly_2021,4,0.8,logistic,l1_C=0.1,3,0.7958717515013002
butyrate_assembly_2021,4,0.8,logistic,l1_C=1,3,0.9072243739450802
butyrate_assembly_2021,4,0.8,ranking,C=0.01,3,0.8962579648098794
butyrate_assembly_2021,4,0.8,ranking,C=0.1,3,0.8966247958250593
