analysis_set,design,taxon_fraction,repeat,selected_taxa,calibration_pairs,calibration_positives,test_pairs,test_positives,feature_set,model_fitted,selected_method,auprc,auroc,f1,threshold
butyrate_assembly_2021,taxon_panel,0.2,29,5,4,4,66,44,network_scores,False,,0.6666666666666666,0.5,0.8,1.0
butyrate_assembly_2021,taxon_panel,0.2,29,5,4,4,66,44,direct_abundance,False,,0.6666666666666666,0.5,0.8,1.0
butyrate_assembly_2021,taxon_panel,0.2,29,5,4,4,66,44,combined,False,,0.6666666666666666,0.5,0.8,1.0
butyrate_assembly_2021,distributed_pairs,0.2,29,5,4,3,100,73,selected_unsupervised,True,Mean rank,0.7367819471711263,0.5306950786402841,0.8484848484848485,0.24410256410256415
butyrate_assembly_2021,distributed_pairs,0.2,29,5,4,3,100,73,network_scores,True,,0.7800714210657946,0.5733130390664638,0.8488372093023255,0.4943393256918066
butyrate_assembly_2021,distributed_pairs,0.2,29,5,4,3,100,73,direct_abundance,True,,0.7070288995201057,0.43328259766615934,0.7701863354037267,0.4806614757030005
butyrate_assembly_2021,distributed_pairs,0.2,29,5,4,3,100,73,combined,True,,0.7139191260042259,0.4490106544901065,0.8,0.476035453753766
butyrate_assembly_2021,taxon_panel,0.2,31,5,4,3,65,45,selected_unsupervised,True,SparCC,0.8211979934752133,0.63,0.5230769230769231,0.726153846153846
butyrate_assembly_2021,taxon_panel,0.2,31,5,4,3,65,45,network_scores,True,,0.8161503908957943,0.6677777777777778,0.7659574468085106,0.5005963670603669
butyrate_assembly_2021,taxon_panel,0.2,31,5,4,3,65,45,direct_abundance,True,,0.7372578918798186,0.46,0.6521739130434783,0.4989966607469344
butyrate_assembly_2021,taxon_panel,0.2,31,5,4,3,65,45,combined,True,,0.7336889408968108,0.48777777777777775,0.6292134831460674,0.506637570027449
butyrate_assembly_2021,distributed_pairs,0.2,31,5,4,4,100,72,selected_unsupervised,False,Mean rank,0.7295927934212029,0.5416666666666666,0.7448275862068966,0.35384615384615387
butyrate_assembly_2021,distributed_pairs,0.2,31,5,4,4,100,72,network_scores,False,,0.72,0.5,0.8372093023255814,1.0
butyrate_assembly_2021,distributed_pairs,0.2,31,5,4,4,100,72,direct_abundance,False,,0.72,0.5,0.8372093023255814,1.0
butyrate_assembly_2021,distributed_pairs,0.2,31,5,4,4,100,72,combined,False,,0.72,0.5,0.8372093023255814,1.0
butyrate_assembly_2021,taxon_panel,0.2,33,5,3,2,70,50,selected_unsupervised,True,SparCC,0.8166008596832632,0.624,0.45454545454545453,0.747692307692308
butyrate_assembly_2021,taxon_panel,0.2,33,5,3,2,70,50,network_scores,True,,0.7678563629141639,0.589,0.36363636363636365,0.504172674488236
butyrate_assembly_2021,taxon_panel,0.2,33,5,3,2,70,50,direct_abundance,True,,0.7370088646081638,0.49,0.6666666666666666,0.5104943631954798
butyrate_assembly_2021,taxon_panel,0.2,33,5,3,2,70,50,combined,True,,0.7869924153362677,0.5179999999999999,0.6444444444444445,0.519096549584304
butyrate_assembly_2021,distributed_pairs,0.2,33,5,3,3,101,73,selected_unsupervised,False,Mean rank,0.7371282138269362,0.550880626223092,0.8125,0.29384615384615403
butyrate_assembly_2021,distributed_pairs,0.2,33,5,3,3,101,73,network_scores,False,,0.7227722772277227,0.5,0.8390804597701149,1.0
butyrate_assembly_2021,distributed_pairs,0.2,33,5,3,3,101,73,direct_abundance,False,,0.7227722772277227,0.5,0.8390804597701149,1.0
butyrate_assembly_2021,distributed_pairs,0.2,33,5,3,3,101,73,combined,False,,0.7227722772277227,0.5,0.8390804597701149,1.0
butyrate_assembly_2021,taxon_panel,0.2,34,5,5,4,52,42,selected_unsupervised,True,Poisson GLMNet,0.7860088186391477,0.45476190476190476,0.5,0.535384615384615
butyrate_assembly_2021,taxon_panel,0.2,34,5,5,4,52,42,network_scores,True,,0.8366549056056745,0.4642857142857142,0.53125,0.4971168483543463
butyrate_assembly_2021,taxon_panel,0.2,34,5,5,4,52,42,direct_abundance,True,,0.8503599675842383,0.6142857142857143,0.8571428571428571,0.4883511972334163
butyrate_assembly_2021,taxon_panel,0.2,34,5,5,4,52,42,combined,True,,0.8529208361304507,0.6214285714285714,0.8433734939759037,0.4863252731540878
butyrate_assembly_2021,distributed_pairs,0.2,34,5,5,1,99,75,selected_unsupervised,True,PLNNetwork,0.8066029769696286,0.5758333333333334,0.5833333333333334,0.541538461538462
butyrate_assembly_2021,distributed_pairs,0.2,34,5,5,1,99,75,network_scores,True,,0.7303315582741589,0.43500000000000005,0.02631578947368421,0.5167054278568243
butyrate_assembly_2021,distributed_pairs,0.2,34,5,5,1,99,75,direct_abundance,True,,0.8068199166361547,0.5644444444444444,0.02631578947368421,0.5495432536644622
butyrate_assembly_2021,distributed_pairs,0.2,34,5,5,1,99,75,combined,True,,0.7984967450387384,0.5366666666666666,0.0,0.5633280876290543
butyrate_assembly_2021,taxon_panel,0.2,35,5,7,4,48,42,selected_unsupervised,True,SparCC,0.9249878520536632,0.5714285714285714,0.896551724137931,0.126153846153846
