analysis_set,label_budget,repeat,calibration_pairs,test_pairs,calibration_outcomes,test_outcomes,test_positives,test_prevalence,selected_unsupervised,selected_unsupervised_auprc,mean_rank_auprc,supervised_auprc,supervised_minus_selected,supervised_minus_mean_rank,selected_C,balanced_classes,plnnetwork_auprc,poisson_glmnet_auprc,sparcc_auprc
butyrate_assembly_2021,0.6,147,62,42,62,42,31,0.7380952380952381,SparCC,0.748110426000416,0.7442632121886272,0.7752483292588059,0.0271379032583899,0.0309851170701787,10.0,True,0.8332636778284135,0.6817061863954755,0.748110426000416
butyrate_assembly_2021,0.6,148,62,42,62,42,31,0.7380952380952381,SparCC,0.8077417022491801,0.7452344716665942,0.7865394218114601,-0.0212022804377199,0.0413049501448659,10.0,True,0.8122096199653418,0.7743384651697982,0.8077417022491801
butyrate_assembly_2021,0.6,149,62,42,62,42,31,0.7380952380952381,SparCC,0.8258471051243117,0.7601490794901389,0.8505244376774617,0.0246773325531499,0.0903753581873227,0.001,True,0.8009394776660375,0.736389443285636,0.8258471051243117
butyrate_assembly_2021,0.6,150,62,42,62,42,31,0.7380952380952381,SparCC,0.7877357044140452,0.6919456951810352,0.7706763367275276,-0.0170593676865176,0.0787306415464923,0.001,True,0.785877836797945,0.6323685584237599,0.7877357044140452
butyrate_assembly_2021,0.6,151,62,42,62,42,31,0.7380952380952381,SparCC,0.8584946606424517,0.7949923012360544,0.852326163612075,-0.0061684970303766,0.0573338623760206,0.01,True,0.8337987631201995,0.6991148623262767,0.8584946606424517
butyrate_assembly_2021,0.6,152,62,42,62,42,31,0.7380952380952381,SparCC,0.8268074850590328,0.7645274302039516,0.8495011293777458,0.022693644318713,0.0849736991737941,0.01,True,0.8164675880573945,0.6659134961110631,0.8268074850590328
butyrate_assembly_2021,0.6,153,62,42,62,42,31,0.7380952380952381,SparCC,0.7944409161110011,0.7590583940063959,0.846033663870613,0.0515927477596118,0.0869752698642171,0.001,True,0.8468944492434721,0.6613007439996952,0.7944409161110011
butyrate_assembly_2021,0.6,154,62,42,62,42,31,0.7380952380952381,SparCC,0.8444638474954034,0.7857377941153376,0.8891865314307758,0.0447226839353723,0.1034487373154381,0.001,True,0.8159598599801288,0.7091388442323678,0.8444638474954034
butyrate_assembly_2021,0.6,155,62,42,62,42,31,0.7380952380952381,SparCC,0.7995515592721834,0.7295512650873737,0.8251284293405049,0.0255768700683215,0.0955771642531312,0.001,True,0.7819680287929716,0.6540913842192818,0.7995515592721834
butyrate_assembly_2021,0.6,156,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.7529641892889671,0.7855998843045786,0.7611281141939457,0.0081639249049785,-0.0244717701106329,0.001,True,0.7529641892889671,0.7854076868197166,0.8099462536903672
butyrate_assembly_2021,0.6,157,62,42,62,42,31,0.7380952380952381,SparCC,0.7841899698992189,0.7815605895645136,0.7875357829503653,0.0033458130511464,0.0059751933858517,0.1,True,0.8376396971991322,0.7039499257035411,0.7841899698992189
butyrate_assembly_2021,0.6,158,62,42,62,42,31,0.7380952380952381,SparCC,0.8379485391157013,0.787099032211465,0.8256269256607314,-0.0123216134549699,0.0385278934492663,0.1,True,0.7901488680126993,0.7142435735104559,0.8379485391157013
butyrate_assembly_2021,0.6,159,62,42,62,42,31,0.7380952380952381,SparCC,0.780530469650924,0.7354421431029292,0.8468176855199843,0.0662872158690602,0.111375542417055,0.001,True,0.811934864537785,0.7340255862552683,0.780530469650924
butyrate_assembly_2021,0.6,160,62,42,62,42,31,0.7380952380952381,SparCC,0.822385909928049,0.7362027190780017,0.8019833662224067,-0.0204025437056423,0.065780647144405,0.001,True,0.7779086863020985,0.7693171220920355,0.822385909928049
butyrate_assembly_2021,0.6,161,62,42,62,42,31,0.7380952380952381,SparCC,0.7944001877775932,0.6895439298595021,0.7520770628523208,-0.0423231249252724,0.0625331329928187,0.001,True,0.8089003990448121,0.6089152765950641,0.7944001877775932
butyrate_assembly_2021,0.6,162,62,42,62,42,31,0.7380952380952381,SparCC,0.7257580309046976,0.6973341180419049,0.7454316242957797,0.0196735933910821,0.0480975062538747,0.01,True,0.7481191270650928,0.7085006116363642,0.7257580309046976
butyrate_assembly_2021,0.6,163,62,42,62,42,31,0.7380952380952381,SparCC,0.807868900759547,0.7633338617552539,0.7998445220874395,-0.0080243786721074,0.0365106603321856,10.0,True,0.8413970492386335,0.704657379615407,0.807868900759547
butyrate_assembly_2021,0.6,164,62,42,62,42,31,0.7380952380952381,SparCC,0.7703294568125454,0.7118484901138157,0.8071194484748886,0.0367899916623432,0.0952709583610729,0.1,False,0.8420980947661323,0.6958714461881245,0.7703294568125454
butyrate_assembly_2021,0.6,165,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.799180760870564,0.8187531428777983,0.8794499432347085,0.0802691823641444,0.0606968003569101,0.001,True,0.799180760870564,0.7078380735280617,0.9064690228940924
butyrate_assembly_2021,0.6,166,62,42,62,42,31,0.7380952380952381,SparCC,0.7963448422388371,0.7414040586731648,0.8096349312811182,0.0132900890422811,0.0682308726079533,0.01,True,0.7867463315006509,0.6929487805667119,0.7963448422388371
butyrate_assembly_2021,0.6,167,62,42,62,42,31,0.7380952380952381,SparCC,0.8118681695887965,0.7363861526109161,0.8658651989378725,0.053997029349076,0.1294790463269564,0.001,True,0.8315105006336838,0.6889652278899349,0.8118681695887965
butyrate_assembly_2021,0.6,168,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.781478379879263,0.7893723700914336,0.8380212328823369,0.0565428530030738,0.0486488627909033,0.001,True,0.781478379879263,0.7102496683294139,0.8612618801846743
butyrate_assembly_2021,0.6,169,62,42,62,42,31,0.7380952380952381,SparCC,0.8483852980254782,0.7045578538485175,0.8210968737199384,-0.0272884243055397,0.1165390198714209,0.001,True,0.8131432387953808,0.6412417445032874,0.8483852980254782
butyrate_assembly_2021,0.6,170,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.7108960182489308,0.6835974610152163,0.6410712715830928,-0.0698247466658379,-0.0425261894321234,1.0,True,0.7108960182489308,0.6742870667438441,0.8549173699811248
butyrate_assembly_2021,0.6,171,62,42,62,42,31,0.7380952380952381,SparCC,0.8584651516732981,0.8269362523669532,0.8309369056004261,-0.0275282460728719,0.0040006532334728,0.01,True,0.8307374464687891,0.7549809206135624,0.8584651516732981
butyrate_assembly_2021,0.6,172,62,42,62,42,31,0.7380952380952381,SparCC,0.7354467671875011,0.6954428548954507,0.7519733712410137,0.0165266040535125,0.056530516345563,0.001,True,0.7901513818552103,0.6434402307478759,0.7354467671875011
butyrate_assembly_2021,0.6,173,62,42,62,42,31,0.7380952380952381,SparCC,0.8423708477043044,0.7755041816076131,0.8534780204747996,0.0111071727704952,0.0779738388671864,0.01,True,0.8093200533433664,0.6857151719383947,0.8423708477043044
butyrate_assembly_2021,0.6,174,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.6936787740620468,0.7024179489775224,0.7638979709059485,0.0702191968439016,0.061480021928426,0.1,True,0.6936787740620468,0.7310532114290411,0.7981493163769462
butyrate_assembly_2021,0.6,175,62,42,62,42,31,0.7380952380952381,SparCC,0.8249348357361546,0.7617573855290947,0.7994998922614331,-0.0254349434747214,0.0377425067323384,0.1,True,0.7973891568714532,0.6900124443757512,0.8249348357361546
butyrate_assembly_2021,0.6,176,62,42,62,42,31,0.7380952380952381,SparCC,0.8132680654810265,0.7228608947737931,0.8185559697039749,0.0052879042229484,0.0956950749301818,0.001,True,0.7805346471081559,0.6627063977208301,0.8132680654810265
