analysis_set,design,taxon_fraction,repeat,selected_taxa,calibration_pairs,calibration_outcomes,calibration_positives,test_pairs,test_outcomes,test_positives,test_prevalence,model_fitted,supervised_auprc,mean_rank_auprc,supervised_minus_mean_rank,plnnetwork_auprc,poisson_glmnet_auprc,sparcc_auprc
friedman_microcosm_2017,taxon_panel,0.2,129,4,6,12,6,6,12,6,0.5,True,0.7083333333333333,0.5555555555555556,0.15277777777777768,0.4513888888888889,0.5416666666666666,0.6666666666666667
friedman_microcosm_2017,distributed_pairs,0.2,129,4,6,12,7,22,44,26,0.5909090909090909,True,0.6249121172019483,0.6154337632182061,0.009478353983742194,0.6205634050001758,0.5958422444527768,0.7066467797966367
friedman_microcosm_2017,taxon_panel,0.2,130,4,6,12,6,6,12,6,0.5,True,0.5,0.6111111111111112,-0.11111111111111116,0.47916666666666663,0.5833333333333334,0.7569444444444444
friedman_microcosm_2017,distributed_pairs,0.2,130,4,6,12,7,22,44,26,0.5909090909090909,True,0.5842290148791699,0.5983717387042585,-0.014142723825088632,0.6236306102308425,0.5894701443306767,0.6710254566753138
friedman_microcosm_2017,taxon_panel,0.2,131,4,6,12,8,6,12,7,0.5833333333333334,True,0.5404761904761903,0.5619047619047619,-0.021428571428571574,0.7464285714285714,0.5238095238095237,0.5404761904761903
friedman_microcosm_2017,distributed_pairs,0.2,131,4,6,12,7,22,44,26,0.5909090909090909,True,0.5673301265265126,0.5985109817711332,-0.031180855244620553,0.5569950289317996,0.6242729334946233,0.6610473628736906
friedman_microcosm_2017,taxon_panel,0.2,132,4,6,12,7,6,12,7,0.5833333333333334,True,0.5916666666666667,0.6392857142857142,-0.04761904761904756,0.5619047619047619,0.5619047619047619,0.5916666666666667
friedman_microcosm_2017,distributed_pairs,0.2,132,4,6,12,7,22,44,26,0.5909090909090909,True,0.6162995758970993,0.613347383841847,0.002952192055252323,0.6205634050001758,0.597185570244632,0.7094205174968451
friedman_microcosm_2017,taxon_panel,0.2,133,4,6,12,7,6,12,9,0.75,True,0.7712962962962963,0.6277777777777779,0.14351851851851838,0.687962962962963,0.7712962962962963,0.6277777777777779
friedman_microcosm_2017,distributed_pairs,0.2,133,4,6,12,7,22,44,26,0.5909090909090909,True,0.5385497616088234,0.6311098057726721,-0.09256004416384866,0.6279814311935056,0.5628712004039464,0.714563504851371
friedman_microcosm_2017,taxon_panel,0.2,134,4,6,12,6,6,12,6,0.5,True,0.5,0.5,0.0,0.5,0.5,0.5
friedman_microcosm_2017,distributed_pairs,0.2,134,4,6,12,8,22,44,25,0.5681818181818182,True,0.5272064128681777,0.6241766700791469,-0.09697025721096919,0.6170006598149013,0.538604453424113,0.7023874364369719
friedman_microcosm_2017,taxon_panel,0.2,135,4,6,12,7,6,12,7,0.5833333333333334,True,0.5,0.8595238095238096,-0.3595238095238096,0.5404761904761904,0.6702380952380952,0.8297619047619048
friedman_microcosm_2017,distributed_pairs,0.2,135,4,6,12,8,22,44,25,0.5681818181818182,True,0.5249833295359613,0.6545776106418522,-0.12959428110589089,0.6258498661641076,0.5613875673689915,0.721359689673931
friedman_microcosm_2017,taxon_panel,0.2,136,4,6,12,7,6,12,7,0.5833333333333334,True,0.5238095238095237,0.5404761904761903,-0.016666666666666607,0.6392857142857142,0.5238095238095237,0.5238095238095237
friedman_microcosm_2017,distributed_pairs,0.2,136,4,6,12,8,22,44,25,0.5681818181818182,True,0.5765219069715974,0.6022883133378489,-0.025766406366251493,0.5416512890274501,0.6140228239253006,0.6614215167357582
friedman_microcosm_2017,taxon_panel,0.2,137,4,6,12,7,6,12,9,0.75,True,0.8185185185185185,0.7518518518518519,0.06666666666666665,0.7907407407407407,0.7907407407407407,0.8074074074074075
friedman_microcosm_2017,distributed_pairs,0.2,137,4,6,12,10,22,44,23,0.5227272727272727,True,0.5038458299899947,0.5535260397758716,-0.04968020978587684,0.5740390323956416,0.513059080507593,0.5921959057155584
friedman_microcosm_2017,taxon_panel,0.2,138,4,6,12,5,6,12,8,0.6666666666666666,True,0.746875,0.65,0.09687499999999993,0.653125,0.746875,0.6020833333333333
friedman_microcosm_2017,distributed_pairs,0.2,138,4,6,12,7,22,44,26,0.5909090909090909,True,0.5228477067077031,0.6550685880035131,-0.13222088129581,0.6190051322285188,0.5506356772841353,0.73527470667117
