held_out,candidate,average_precision
schafer_phyllosphere_2022,logistic_score5_C10.0_balancedTrue,0.2537427906226636
schafer_phyllosphere_2022,logistic_score3_obs_C0.001_balancedFalse,0.05267559008013705
schafer_phyllosphere_2022,logistic_score3_obs_C0.001_balancedTrue,0.16636616595987505
schafer_phyllosphere_2022,logistic_score3_obs_C0.01_balancedFalse,0.04666919045407604
schafer_phyllosphere_2022,logistic_score3_obs_C0.01_balancedTrue,0.06614506543972133
schafer_phyllosphere_2022,logistic_score3_obs_C0.1_balancedFalse,0.03611390187597787
schafer_phyllosphere_2022,logistic_score3_obs_C0.1_balancedTrue,0.05497013657007456
schafer_phyllosphere_2022,logistic_score3_obs_C1.0_balancedFalse,0.036019127427368465
schafer_phyllosphere_2022,logistic_score3_obs_C1.0_balancedTrue,0.05434728450243865
schafer_phyllosphere_2022,logistic_score3_obs_C10.0_balancedFalse,0.03599051564667056
schafer_phyllosphere_2022,logistic_score3_obs_C10.0_balancedTrue,0.05663485495503447
schafer_phyllosphere_2022,logistic_score5_obs_C0.001_balancedFalse,0.050024119037479026
schafer_phyllosphere_2022,logistic_score5_obs_C0.001_balancedTrue,0.12530468152321383
schafer_phyllosphere_2022,logistic_score5_obs_C0.01_balancedFalse,0.04554151939831959
schafer_phyllosphere_2022,logistic_score5_obs_C0.01_balancedTrue,0.06568864790818117
schafer_phyllosphere_2022,logistic_score5_obs_C0.1_balancedFalse,0.035950578220078376
schafer_phyllosphere_2022,logistic_score5_obs_C0.1_balancedTrue,0.0549317464075579
schafer_phyllosphere_2022,logistic_score5_obs_C1.0_balancedFalse,0.03604683348150514
schafer_phyllosphere_2022,logistic_score5_obs_C1.0_balancedTrue,0.05436608026469124
schafer_phyllosphere_2022,logistic_score5_obs_C10.0_balancedFalse,0.0360228878096768
schafer_phyllosphere_2022,logistic_score5_obs_C10.0_balancedTrue,0.05667435745296493
schafer_phyllosphere_2022,logistic_score5_interactions_C0.001_balancedFalse,0.044215748994038594
schafer_phyllosphere_2022,logistic_score5_interactions_C0.001_balancedTrue,0.07160338321154876
schafer_phyllosphere_2022,logistic_score5_interactions_C0.01_balancedFalse,0.04713137095717232
schafer_phyllosphere_2022,logistic_score5_interactions_C0.01_balancedTrue,0.06626196263925932
schafer_phyllosphere_2022,logistic_score5_interactions_C0.1_balancedFalse,0.03870812698513176
schafer_phyllosphere_2022,logistic_score5_interactions_C0.1_balancedTrue,0.07220421259962141
schafer_phyllosphere_2022,logistic_score5_interactions_C1.0_balancedFalse,0.03059507874154328
schafer_phyllosphere_2022,logistic_score5_interactions_C1.0_balancedTrue,0.05648191975581103
schafer_phyllosphere_2022,logistic_score5_interactions_C10.0_balancedFalse,0.025649999772283827
schafer_phyllosphere_2022,logistic_score5_interactions_C10.0_balancedTrue,0.06980568590884696
schafer_phyllosphere_2022,extra_score5_obs_depth2_leaf10,0.053163297030974166
schafer_phyllosphere_2022,extra_score5_obs_depth2_leaf30,0.05325219102165553
schafer_phyllosphere_2022,extra_score5_obs_depth4_leaf10,0.05637810274808099
schafer_phyllosphere_2022,extra_score5_obs_depth4_leaf30,0.06391742413597518
schafer_phyllosphere_2022,extra_score5_obs_depth6_leaf10,0.0636731229296646
schafer_phyllosphere_2022,extra_score5_obs_depth6_leaf30,0.0680066833665596
schafer_phyllosphere_2022,hist_score5_obs_leaves3_l20.1,0.039428510175531825
schafer_phyllosphere_2022,hist_score5_obs_leaves3_l21.0,0.04027340049753713
schafer_phyllosphere_2022,hist_score5_obs_leaves3_l210.0,0.03928737877327755
schafer_phyllosphere_2022,hist_score5_obs_leaves7_l20.1,0.03897743002231637
schafer_phyllosphere_2022,hist_score5_obs_leaves7_l21.0,0.05801411224214089
schafer_phyllosphere_2022,hist_score5_obs_leaves7_l210.0,0.054053743325141256
schafer_phyllosphere_2022,hist_score5_obs_leaves15_l20.1,0.034059179553138544
schafer_phyllosphere_2022,hist_score5_obs_leaves15_l21.0,0.033017451279040634
schafer_phyllosphere_2022,hist_score5_obs_leaves15_l210.0,0.03818057329387868
