repeat,fold,training_positives,training_neutrals,single_class_training,inner_tuning_available,selected_setting,nonzero_coefficients,coefficient_l1_norm,intercept,prediction_min,prediction_max,prediction_sd,unique_predictions,test_pairs,test_positives,positive_frequency,supervised_auprc,onenet_auprc,mean_three_scores_auprc,three_scores_auprc,three_scores_plus_joint_prevalence_auprc,fixed_mean_score_auprc,adaptive_simple_auprc
12,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.18761956601357804,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.1432834711859696,0.1432834711859696
12,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.09480735426535145,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.14370733047595097,0.14370733047595097
13,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.17737370487360868,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.38768447677578494,0.38768447677578494
13,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.16522720670906155,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.21072520356781152,0.21072520356781152
13,3,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.25399838562975985,0.3075661506368028,0.18432121345271807,0.08926274877403173,0.3075661506368028,0.3075661506368028
13,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1912916298791053,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.1576983215298908,0.1576983215298908
13,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.11712896173770149,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.1520225410012298,0.1520225410012298
14,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.21164502164502164,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.42464148268849894,0.42464148268849894
14,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.16123600999457163,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.13470824258136524,0.13470824258136524
14,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.3281246001244819,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.3058133943888587,0.3058133943888587
14,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.09143255932962677,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.12848553037986354,0.12848553037986354
14,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.3012673533363188,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.3831501831501832,0.3831501831501832
15,1,3,7,False,True,l1_C=1,3,2.051437774744321,0.0,0.06996347345285525,0.9999629813408611,0.30024404906289603,295,305,7,0.022950819672131147,0.03374075603395729,0.25717510054195547,0.18550834764988328,0.15515318015318016,0.1239443408655318,0.18550834764988328,0.18550834764988328
15,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.06365650405172464,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.15555637087409005,0.15555637087409005
15,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.10817702281381136,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.11486655628575233,0.11486655628575233
15,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1563130030025624,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.5220062244518766,0.5220062244518766
15,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.249340623417119,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.31654991726420295,0.31654991726420295
16,1,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.15977008005309892,0.2813988685205812,0.06962807336953593,0.1170939691983119,0.2813988685205812,0.2813988685205812
