held_out,candidate,inner_mean_auprc_lift,inner_median_auprc_lift,inner_folds
schafer_phyllosphere_2022,logistic_score5_interactions_C0.001_balancedTrue,1.0328897287856653,1.0539565607670027,5
schafer_phyllosphere_2022,logistic_score5_interactions_C0.01_balancedFalse,1.0205289708966112,1.024660267019169,5
schafer_phyllosphere_2022,logistic_score5_interactions_C0.01_balancedTrue,1.0217798333032833,1.0568365607670027,5
schafer_phyllosphere_2022,logistic_score5_interactions_C0.1_balancedFalse,0.9775895738657432,1.0326973394840249,5
schafer_phyllosphere_2022,logistic_score5_interactions_C0.1_balancedTrue,0.9934144435710293,1.0644777372375909,5
schafer_phyllosphere_2022,logistic_score5_interactions_C1.0_balancedFalse,0.9816221294174904,1.0067117381932198,5
schafer_phyllosphere_2022,logistic_score5_interactions_C1.0_balancedTrue,0.9906873617181107,1.0099150257338099,5
schafer_phyllosphere_2022,logistic_score5_interactions_C10.0_balancedFalse,0.9890622178750681,1.014344850046449,5
schafer_phyllosphere_2022,logistic_score5_interactions_C10.0_balancedTrue,0.9791488887182643,1.001954775421913,5
schafer_phyllosphere_2022,extra_score5_obs_depth2_leaf10,1.047909671694455,1.0175696699856773,5
schafer_phyllosphere_2022,extra_score5_obs_depth2_leaf30,1.0392157363386414,1.0067117381932198,5
schafer_phyllosphere_2022,extra_score5_obs_depth4_leaf10,1.0234407548058568,1.0235722335162056,5
schafer_phyllosphere_2022,extra_score5_obs_depth4_leaf30,1.0341367982394556,1.0401371986674144,5
schafer_phyllosphere_2022,extra_score5_obs_depth6_leaf10,1.02968112456492,1.013562984410172,5
schafer_phyllosphere_2022,extra_score5_obs_depth6_leaf30,1.0379237982301996,1.0520888595663909,5
schafer_phyllosphere_2022,hist_score5_obs_leaves3_l20.1,1.016913851373641,1.0214061653129478,5
schafer_phyllosphere_2022,hist_score5_obs_leaves3_l21.0,1.0085192989806833,1.021395088389871,5
schafer_phyllosphere_2022,hist_score5_obs_leaves3_l210.0,1.005004413971793,1.0158331545853527,5
schafer_phyllosphere_2022,hist_score5_obs_leaves7_l20.1,0.9765653166135818,0.989898456153523,5
schafer_phyllosphere_2022,hist_score5_obs_leaves7_l21.0,0.9878630904920799,0.9958598416401291,5
schafer_phyllosphere_2022,hist_score5_obs_leaves7_l210.0,1.0151644192575233,1.015169061383629,5
schafer_phyllosphere_2022,hist_score5_obs_leaves15_l20.1,1.0045111704976943,0.9994802867492956,5
schafer_phyllosphere_2022,hist_score5_obs_leaves15_l21.0,1.010663057188642,0.9934560197344746,5
schafer_phyllosphere_2022,hist_score5_obs_leaves15_l210.0,1.0206815204497137,1.0263531378095616,5
