analysis_set,design,taxon_fraction,method,valid_repeats,mean_calibration_pairs,mean_auprc,sd_auprc,mean_auroc,sd_auroc
butyrate_assembly_2021,taxon_panel,0.2,Mean rank,132,4.6893939393939394,0.7292428333811447,0.09265168315393878,0.5388305120562075,0.045629091449139556
butyrate_assembly_2021,taxon_panel,0.2,PLNNetwork,132,4.6893939393939394,0.7706162181918559,0.07483885656809543,0.5581590021682697,0.05648594841026939
butyrate_assembly_2021,taxon_panel,0.2,Poisson GLMNet,132,4.6893939393939394,0.6746468619867831,0.10548863026014907,0.4348224871175035,0.08041953815210197
butyrate_assembly_2021,taxon_panel,0.2,SPIEC-EASI,132,4.6893939393939394,0.7186021053234998,0.08421033348983911,0.50695170713007,0.006004879897271636
butyrate_assembly_2021,taxon_panel,0.2,SparCC,132,4.6893939393939394,0.7929290800937756,0.08003613094562884,0.5810152046260735,0.038104954842792596
butyrate_assembly_2021,taxon_panel,0.4,Mean rank,186,14.951612903225806,0.7735627537537437,0.13656072989964785,0.5622493002907363,0.0880574702809159
butyrate_assembly_2021,taxon_panel,0.4,PLNNetwork,186,14.951612903225806,0.7892875493419982,0.127441990227083,0.5408825605943485,0.10648722075965845
butyrate_assembly_2021,taxon_panel,0.4,Poisson GLMNet,186,14.951612903225806,0.7341593382632582,0.14462097051944958,0.4942839122032345,0.13148283031791777
butyrate_assembly_2021,taxon_panel,0.4,SPIEC-EASI,186,14.951612903225806,0.739133555870522,0.14107544464202668,0.5059245718435313,0.009809750492042605
butyrate_assembly_2021,taxon_panel,0.4,SparCC,186,14.951612903225806,0.8168893100064288,0.12921618618195443,0.5887705351158075,0.07855271076099492
butyrate_assembly_2021,taxon_panel,0.6,Mean rank,169,36.19526627218935,0.7476819949204314,0.17878589162388658,0.5346924853588013,0.15096891252135247
butyrate_assembly_2021,taxon_panel,0.6,PLNNetwork,169,36.19526627218935,0.7516695298349934,0.18497351010232302,0.5196609740665016,0.17216549794396174
butyrate_assembly_2021,taxon_panel,0.6,Poisson GLMNet,169,36.19526627218935,0.73242798952215,0.17308894432740568,0.5041661303750917,0.22856410056096618
butyrate_assembly_2021,taxon_panel,0.6,SPIEC-EASI,169,36.19526627218935,0.6897956033662506,0.19693446541687534,0.5072075398537056,0.018778961554612183
butyrate_assembly_2021,taxon_panel,0.6,SparCC,169,36.19526627218935,0.7781165903157056,0.18013367514279197,0.5389048113382154,0.1654294458324714
carlstrom_phyllosphere_2019,distributed_pairs,0.2,Mean rank,200,36.4,0.12577440242470714,0.0035747676197241274,0.47369905264421747,0.005488658338787913
carlstrom_phyllosphere_2019,distributed_pairs,0.2,PLNNetwork,200,36.4,0.12418171221446955,0.001960545381029663,0.5,0.0
carlstrom_phyllosphere_2019,distributed_pairs,0.2,Poisson GLMNet,200,36.4,0.1434911197739516,0.003315133191289811,0.5207949353720924,0.002503723890248639
carlstrom_phyllosphere_2019,distributed_pairs,0.2,SPIEC-EASI,200,36.4,0.1339112325510117,0.0030163455202584766,0.5035584898179316,0.0016726797140108076
carlstrom_phyllosphere_2019,distributed_pairs,0.2,SparCC,200,36.4,0.11709466261433951,0.003248257557086836,0.4525867970242799,0.005461363560189893
carlstrom_phyllosphere_2019,distributed_pairs,0.4,Mean rank,200,151.795,0.12641527960359564,0.00637393779648756,0.4730552866143611,0.010475854802859107
carlstrom_phyllosphere_2019,distributed_pairs,0.4,PLNNetwork,200,151.795,0.1240674185974936,0.004444297631270383,0.5,0.0
carlstrom_phyllosphere_2019,distributed_pairs,0.4,Poisson GLMNet,200,151.795,0.14409057139599818,0.0069393758932666935,0.5203510647452428,0.005268743655786097
carlstrom_phyllosphere_2019,distributed_pairs,0.4,SPIEC-EASI,200,151.795,0.13475465018275778,0.005659635416409496,0.5038573302194865,0.00324937614154996
carlstrom_phyllosphere_2019,distributed_pairs,0.4,SparCC,200,151.795,0.11789627256794732,0.005785515612808359,0.45238919864160343,0.010478680025644664
