analysis_set,design,taxon_fraction,feature_set,valid_repeats,mean_calibration_pairs,model_fit_rate,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_f1,sd_f1,score_only_auprc,change_from_scores
friedman_microcosm_2017,taxon_panel,0.4,selected_unsupervised,200,6.0,1.0,0.6559109126984127,0.11323839599176108,0.5508174603174604,0.10184589550708611,0.6123156571670504,0.17024662293843307,0.6268663029100529,0.029044609788359876
friedman_microcosm_2017,taxon_panel,0.6,combined,200,10.0,1.0,0.6153125,0.16780283668098508,0.49075,0.21061188548332896,0.6225183982683983,0.2203489160171526,0.6268333333333334,-0.011520833333333313
friedman_microcosm_2017,taxon_panel,0.6,direct_abundance,200,10.0,1.0,0.6204375,0.16911290903279813,0.5024722222222222,0.21968801902376708,0.5911417748917749,0.2130380022095952,0.6268333333333334,-0.006395833333333378
friedman_microcosm_2017,taxon_panel,0.6,network_scores,200,10.0,1.0,0.6268333333333334,0.1823129246997119,0.5201666666666667,0.19160470033028768,0.6894116161616161,0.12539114159946474,0.6268333333333334,0.0
friedman_microcosm_2017,taxon_panel,0.6,selected_unsupervised,200,10.0,1.0,0.621625,0.16950184323603434,0.519,0.20395643087773221,0.6701893939393939,0.14859146076573254,0.6268333333333334,-0.00520833333333337
schafer_phyllosphere_2022,distributed_pairs,0.2,combined,191,62.717277486910994,0.7382198952879581,0.09604525585422906,0.06760182753770153,0.6916668820307134,0.1422952088626955,0.06662828864009428,0.07535661613425539,0.1104469305845626,-0.014401674730333547
schafer_phyllosphere_2022,distributed_pairs,0.2,direct_abundance,191,62.717277486910994,0.7382198952879581,0.05197790767976742,0.03087794587215691,0.619701677283627,0.11391834165641732,0.046079887373929596,0.04791721439456091,0.1104469305845626,-0.058469022904795186
schafer_phyllosphere_2022,distributed_pairs,0.2,network_scores,191,62.717277486910994,0.7382198952879581,0.1104469305845626,0.0706597270975645,0.6989834590086178,0.1514885017441629,0.10510918484456652,0.08957112565661741,0.1104469305845626,0.0
schafer_phyllosphere_2022,distributed_pairs,0.2,selected_unsupervised,191,62.717277486910994,0.7382198952879581,0.15919385162835448,0.06289484369687541,0.8406305036894278,0.11184146692050145,0.1837452791723562,0.06716131466603807,0.1104469305845626,0.04874692104379187
schafer_phyllosphere_2022,distributed_pairs,0.4,combined,200,244.47,0.99,0.19778978844814227,0.06740809515408756,0.8556175079172099,0.06872211051523,0.18520179401962186,0.08448926753256247,0.18752332943771433,0.010266459010427942
schafer_phyllosphere_2022,distributed_pairs,0.4,direct_abundance,200,244.47,0.99,0.10316311167993546,0.04447689849941031,0.7504006734392599,0.07060978946900649,0.10957780320452898,0.06801208193183543,0.18752332943771433,-0.08436021775777887
schafer_phyllosphere_2022,distributed_pairs,0.4,network_scores,200,244.47,0.99,0.18752332943771433,0.05477114749544576,0.847853864968722,0.08592568219618023,0.1737739056909041,0.07745230381623151,0.18752332943771433,0.0
schafer_phyllosphere_2022,distributed_pairs,0.4,selected_unsupervised,200,244.47,0.99,0.17967957309495472,0.0630435541422139,0.8543815609934423,0.10451590489371237,0.1809536339511973,0.07601877571639562,0.18752332943771433,-0.007843756342759606
