analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
butyrate_assembly_2021,5,5,20,20,17,3,20,15,lambda=10,0.7103117528040128,0.7018923522870891,0.008419400516923692,0.36,0.33999999999999997
butyrate_assembly_2021,5,5,50,50,39,11,20,15,lambda=0.1,0.8305489230411831,0.7018923522870891,0.12865657075409398,0.6533333333333333,0.33999999999999997
butyrate_assembly_2021,5,5,maximum,84,61,23,20,15,lambda=1,0.773421975914236,0.7018923522870891,0.07152962362714688,0.5733333333333333,0.33999999999999997
butyrate_assembly_2021,6,1,10,10,5,5,21,16,lambda=10,0.8495684414269942,0.7647996358861298,0.08476880554086441,0.65,0.45625
butyrate_assembly_2021,6,1,20,20,9,11,21,16,lambda=1,0.874002514298567,0.7647996358861298,0.10920287841243725,0.6875,0.45625
butyrate_assembly_2021,6,1,50,50,36,14,21,16,lambda=0.01,0.830933920042376,0.7647996358861298,0.06613428415624623,0.55,0.45625
butyrate_assembly_2021,6,1,maximum,83,60,23,21,16,lambda=0.1,0.834050595034051,0.7647996358861298,0.06925095914792123,0.5875,0.45625
butyrate_assembly_2021,6,2,10,10,8,2,21,15,lambda=10,0.6619168648116016,0.6345462140198982,0.02737065079170342,0.4222222222222222,0.3055555555555556
butyrate_assembly_2021,6,2,20,20,15,5,21,15,lambda=10,0.7147725259489965,0.6345462140198982,0.08022631192909835,0.4777777777777778,0.3055555555555556
butyrate_assembly_2021,6,2,50,50,34,16,21,15,lambda=0.1,0.9661111111111111,0.6345462140198982,0.33156489709121295,0.9,0.3055555555555556
butyrate_assembly_2021,6,2,maximum,83,61,22,21,15,lambda=0.01,0.962261208576998,0.6345462140198982,0.32771499455709985,0.888888888888889,0.3055555555555556
butyrate_assembly_2021,6,3,10,10,7,3,21,15,lambda=10,0.7671990971990973,0.7447261997261997,0.0224728974728976,0.6555555555555556,0.4666666666666667
butyrate_assembly_2021,6,3,20,20,14,6,21,15,lambda=1,0.9268402893402894,0.7447261997261997,0.1821140896140897,0.8777777777777778,0.4666666666666667
butyrate_assembly_2021,6,3,50,50,36,14,21,15,lambda=0.1,0.9623172579054932,0.7447261997261997,0.21759105817929347,0.9111111111111112,0.4666666666666667
butyrate_assembly_2021,6,3,maximum,83,61,22,21,15,lambda=0.01,0.9449558396539821,0.7447261997261997,0.20022963992778242,0.8555555555555556,0.4666666666666667
butyrate_assembly_2021,6,4,10,10,8,2,21,15,lambda=10,0.8625934104881473,0.7707541876195126,0.09183922286863466,0.6444444444444444,0.4888888888888889
butyrate_assembly_2021,6,4,20,20,16,4,21,15,lambda=0.1,0.8316409207121281,0.7707541876195126,0.0608867330926155,0.6444444444444445,0.4888888888888889
butyrate_assembly_2021,6,4,50,50,38,12,21,15,lambda=0.01,0.8790864544811913,0.7707541876195126,0.10833226686167863,0.7222222222222222,0.4888888888888889
butyrate_assembly_2021,6,4,maximum,83,61,22,21,15,lambda=0.01,0.8939628073451602,0.7707541876195126,0.12320861972564756,0.7666666666666666,0.4888888888888889
butyrate_assembly_2021,6,5,10,10,4,6,20,15,lambda=0.1,0.8742037282749356,0.747334907094969,0.12686882117996667,0.6133333333333333,0.36
butyrate_assembly_2021,6,5,20,20,11,9,20,15,lambda=0.01,0.7649859253806621,0.747334907094969,0.017651018285693154,0.5599999999999999,0.36
butyrate_assembly_2021,6,5,50,50,33,17,20,15,lambda=1,0.8167109578874284,0.747334907094969,0.06937605079245945,0.52,0.36
butyrate_assembly_2021,6,5,maximum,84,61,23,20,15,lambda=0.1,0.8924365558189087,0.747334907094969,0.1451016487239397,0.7066666666666666,0.36
