analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
carlstrom_phyllosphere_2019,3,5,100,100,17,83,197,24,lambda=1,0.16808141272835864,0.11959107961944028,0.04849033310891836,0.5927263969171483,0.4995183044315992
carlstrom_phyllosphere_2019,3,5,200,200,27,173,197,24,lambda=0.01,0.22266489052948188,0.11959107961944028,0.1030738109100416,0.6705202312138728,0.4995183044315992
carlstrom_phyllosphere_2019,3,5,500,500,69,431,197,24,lambda=0.1,0.23262547696297087,0.11959107961944028,0.11303439734353059,0.6934007707129094,0.4995183044315992
carlstrom_phyllosphere_2019,3,5,maximum,792,99,693,197,24,lambda=0.01,0.2380649101713938,0.11959107961944028,0.11847383055195353,0.6989402697495183,0.4995183044315992
carlstrom_phyllosphere_2019,4,1,10,10,2,8,198,25,lambda=10,0.12151649509871815,0.11816881592961134,0.003347679169106804,0.49248554913294795,0.45815028901734106
carlstrom_phyllosphere_2019,4,1,20,20,3,17,198,25,lambda=10,0.13063012308241595,0.11816881592961134,0.012461307152804607,0.503121387283237,0.45815028901734106
carlstrom_phyllosphere_2019,4,1,50,50,6,44,198,25,lambda=0.1,0.18514046351927574,0.11816881592961134,0.0669716475896644,0.5803468208092485,0.45815028901734106
carlstrom_phyllosphere_2019,4,1,100,100,14,86,198,25,lambda=0.1,0.20538343422699068,0.11816881592961134,0.08721461829737934,0.578728323699422,0.45815028901734106
carlstrom_phyllosphere_2019,4,1,200,200,28,172,198,25,lambda=0.1,0.22024757003203188,0.11816881592961134,0.10207875410242054,0.6073988439306359,0.45815028901734106
carlstrom_phyllosphere_2019,4,1,500,500,57,443,198,25,lambda=0.1,0.22184613038778989,0.11816881592961134,0.10367731445817854,0.6013872832369942,0.45815028901734106
carlstrom_phyllosphere_2019,4,1,maximum,791,98,693,198,25,lambda=0.01,0.23317802474481664,0.11816881592961134,0.1150092088152053,0.6036994219653179,0.45815028901734106
carlstrom_phyllosphere_2019,4,2,10,10,2,8,198,25,lambda=10,0.17297928330677054,0.13514939520987795,0.03782988809689258,0.5297109826589594,0.4870520231213873
carlstrom_phyllosphere_2019,4,2,20,20,4,16,198,25,lambda=10,0.18602833439575064,0.13514939520987795,0.05087893918587269,0.5223121387283237,0.4870520231213873
carlstrom_phyllosphere_2019,4,2,50,50,7,43,198,25,lambda=0.01,0.2527813757878032,0.13514939520987795,0.11763198057792523,0.5808092485549133,0.4870520231213873
carlstrom_phyllosphere_2019,4,2,100,100,10,90,198,25,lambda=0.1,0.2864336173770378,0.13514939520987795,0.15128422216715987,0.6388439306358382,0.4870520231213873
carlstrom_phyllosphere_2019,4,2,200,200,19,181,198,25,lambda=0.1,0.2672065784373596,0.13514939520987795,0.13205718322748167,0.6721387283236995,0.4870520231213873
carlstrom_phyllosphere_2019,4,2,500,500,58,442,198,25,lambda=1,0.2663805965785758,0.13514939520987795,0.13123120136869787,0.7535260115606937,0.4870520231213873
carlstrom_phyllosphere_2019,4,2,maximum,791,98,693,198,25,lambda=0.01,0.3182664659792745,0.13514939520987795,0.18311707076939654,0.7526011560693642,0.4870520231213873
carlstrom_phyllosphere_2019,4,3,10,10,2,8,198,25,lambda=10,0.1254533212106488,0.10991375330326669,0.015539567907382118,0.42959537572254336,0.43491329479768787
carlstrom_phyllosphere_2019,4,3,20,20,2,18,198,25,lambda=10,0.1254533212106488,0.10991375330326669,0.015539567907382118,0.42959537572254336,0.43491329479768787
carlstrom_phyllosphere_2019,4,3,50,50,5,45,198,25,lambda=0.1,0.25721356902900444,0.10991375330326669,0.14729981572573775,0.6400000000000001,0.43491329479768787
carlstrom_phyllosphere_2019,4,3,100,100,11,89,198,25,lambda=1,0.21952428232425555,0.10991375330326669,0.10961052902098886,0.69757225433526,0.43491329479768787
carlstrom_phyllosphere_2019,4,3,200,200,20,180,198,25,lambda=1,0.19049073300526048,0.10991375330326669,0.08057697970199379,0.6578034682080924,0.43491329479768787
carlstrom_phyllosphere_2019,4,3,500,500,66,434,198,25,lambda=0.1,0.2725355976778974,0.10991375330326669,0.16262184437463073,0.72,0.43491329479768787
carlstrom_phyllosphere_2019,4,3,maximum,791,98,693,198,25,lambda=0.01,0.36234679919131857,0.10991375330326669,0.2524330458880519,0.7042774566473989,0.43491329479768787
carlstrom_phyllosphere_2019,4,4,10,10,4,6,198,24,lambda=1,0.1235892606052478,0.13635794409891872,-0.012768683493670913,0.46575670498084293,0.47964559386973177
