dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
schafer_phyllosphere_2022,Leaf187,Leaf90,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf187,Leaf91,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf187,Leaf99,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf203,Leaf220,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf203,Leaf33,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf203,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf203,Leaf371,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf203,Leaf405,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf203,Leaf41,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf203,Leaf427,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf203,Leaf61,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf203,Leaf67,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf203,Leaf88,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf220,Leaf225,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf220,Leaf233,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf220,Leaf242,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf254,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf220,Leaf262,1,positive,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf220,Leaf289,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf220,Leaf299,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf306,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf311,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf220,Leaf313,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf314,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf220,Leaf32,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf220,Leaf33,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf335,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf359,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf220,Leaf371,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf391,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf220,Leaf405,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf41,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf42,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf427,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf434,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf220,Leaf466,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf220,Leaf50,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf220,Leaf61,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf62,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf67,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf68,1,positive,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf220,Leaf76,1,positive,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf220,Leaf85,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf220,Leaf86,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf220,Leaf87,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf220,Leaf88,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf90,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf220,Leaf91,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf220,Leaf99,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf225,Leaf299,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf225,Leaf33,0,neutral,0.0,0.0,,0.0
