"taxon_1","taxon_2","onenet_score"
"Leaf106","Leaf324",0.0166666666666667
"Leaf106","Leaf326",0.0277777777777778
"Leaf106","Leaf33",0.0111111111111111
"Leaf106","Leaf334",0.0166666666666667
"Leaf106","Leaf335",0.00555555555555556
"Leaf106","Leaf336",0
"Leaf106","Leaf337",0.00555555555555556
"Leaf106","Leaf339",0.00555555555555556
"Leaf106","Leaf34",0.0388888888888889
"Leaf106","Leaf343",0.0444444444444444
"Leaf106","Leaf344",0.133333333333333
"Leaf106","Leaf351",0.194444444444444
"Leaf106","Leaf354",0.0166666666666667
"Leaf106","Leaf357",0.0111111111111111
"Leaf106","Leaf359",0.0222222222222222
"Leaf106","Leaf361",0.0444444444444444
"Leaf106","Leaf363",0.0277777777777778
"Leaf106","Leaf369",0.0388888888888889
"Leaf106","Leaf371",0.0222222222222222
"Leaf106","Leaf380",0.222222222222222
"Leaf106","Leaf391",0.105555555555556
"Leaf106","Leaf394",0.0944444444444444
"Leaf106","Leaf396",0.0222222222222222
"Leaf106","Leaf405",0
"Leaf106","Leaf406",0.227777777777778
"Leaf106","Leaf41",0.00555555555555556
"Leaf106","Leaf412",0.0944444444444444
"Leaf106","Leaf416",0.305555555555556
"Leaf106","Leaf42",0.0722222222222222
"Leaf106","Leaf420",0
"Leaf106","Leaf427",0.0166666666666667
"Leaf106","Leaf434",0
"Leaf106","Leaf443",0.0111111111111111
"Leaf106","Leaf446",0.0722222222222222
"Leaf106","Leaf454",0.155555555555556
"Leaf106","Leaf456",0
"Leaf106","Leaf466",0.0111111111111111
"Leaf106","Leaf49",0.0444444444444444
"Leaf106","Leaf5",0
"Leaf106","Leaf50",0.0333333333333333
"Leaf106","Leaf51",0
"Leaf106","Leaf53",0.00555555555555556
"Leaf106","Leaf58",0
"Leaf106","Leaf61",0.0444444444444444
"Leaf106","Leaf62",0.0611111111111111
"Leaf106","Leaf64",0
"Leaf106","Leaf67",0.0222222222222222
"Leaf106","Leaf68",0.0888888888888889
"Leaf106","Leaf69",0.0166666666666667
"Leaf106","Leaf70",0.05
"Leaf106","Leaf75",0
"Leaf106","Leaf76",0.0888888888888889
"Leaf106","Leaf78",0.00555555555555556
"Leaf106","Leaf82",0
"Leaf106","Leaf83",0.122222222222222
"Leaf106","Leaf85",0.616666666666667
"Leaf106","Leaf86",0.138888888888889
"Leaf106","Leaf87",0.127777777777778
"Leaf106","Leaf88",0.0722222222222222
"Leaf106","Leaf90",0.0722222222222222
"Leaf106","Leaf91",0.0888888888888889
"Leaf106","Leaf99",0.0222222222222222
"Leaf122","Leaf126",0.05
"Leaf122","Leaf127",0.0166666666666667
